language	p12	d12	p23	d23	p34	d34	start	minimum	maximum	finish	curve	curve2
Afrikaans	3.8138963300749085e-09	1.3358802834717112	0.5067699646660464	-0.1460201287511404			1	4	1	18	down-flat	down
Akkadian	0.06092287089427013	-0.17796527874583926	1.4206398479019705e-20	0.7434512664827234	0.24891684323308957	-0.3269404359256608	1	10	2	11	flat-down-flat	down
Amharic	7.362471247487158e-13	0.5996708609369396					1	5	1	5	down	down
Ancient_Greek	0.0	1.2776161879870318	1.89907846316867	-0.009050562122265711			1	15	1	22	down-flat	down
Arabic	1.0922051030897457e-05	0.18358806910182268	0.0008176753364709421	-0.2892585462551347	2.4006652802763266	0.04165117168069009	1	5	19	22	flat-up-flat	up
Armenian	1.4040404945871127e-18	0.4813659470004323	4.7659788196673385e-07	-0.4783058934890407			1	3	1	14	down-up	down-up
Bambara	2.7778826544612114e-12	1.446345500651561					1	9	1	9	down	down
Basque	9.674965766304572e-37	0.49252280506503104	0.0001819056206036748	-0.3204000910968208			1	6	1	15	down-up	down-up
Belarusian	1.152889042395018e-100	0.5500786970929507	7.0883713093956695e-09	-0.5349845005296179			1	5	1	21	down-up	down-up
Breton	6.138206430908247e-07	1.185536925087335	0.18136810886120563	-0.24015471983499923			1	5	1	9	down-flat	down
Bulgarian	5.040048779310433e-37	0.6574184788290275	1.1730014357669053e-10	-0.4306199094133914			1	3	1	22	down-up	down-up
Buryat	1.1120099702150699e-05	0.5787308087070292	0.022559022403173895	-0.43620501133771933			1	7	1	9	down-up	down-up
Cantonese	1.1357046664791087e-06	0.4046776549154624	0.001801030620547496	-0.30689982728952375			1	2	1	10	down-up	down-up
Catalan	7.82710782172276e-80	1.4123131247902694	0.031526929583273355	-0.18324871811581953			1	8	1	36	down-flat	down
Chinese	1.6008627969150583e-12	-0.17288432468465603	0.733935406339191	0.12613592586404423			1	1	19	20	flat-flat	flat
Classical_Chinese	2.3342380246240003e-05	-0.7138557551625148	1.5915112439833745	0.03957915919119554			1	1	12	13	up-flat	up
Coptic	6.473075522452031e-82	0.7996621452767274	0.16293215430785876	-0.1524743414277024			1	4	1	8	down-flat	down
Croatian	5.259917106865528e-62	0.908788224746213	1.2591290997053383e-10	-0.4525354753511237			1	4	1	23	down-up	down-up
Czech	1.8920045238905745e-273	0.47345818575973253	1.24137296155997e-19	-0.5630558072210865	0.7878628395466991	0.17781634830952525	1	3	34	36	down-up-flat	down-up
Danish	5.518706050081564e-35	1.0675281273843713	1.738815386079546e-10	-0.5488290474275037			1	5	1	20	down-up	down-up
Dutch	2.3145961758874677e-82	0.5890669305387862	0.000936462849654469	-0.3598152355993768			1	5	1	25	down-up	down-up
English	3.787482969275212e-184	0.8268290200539472	5.261561004921617e-09	-0.4659859902241192			1	3	1	28	down-up	down-up
