u1	u2	nobservations	iqr
1	3.80052310374891	5735	1.0
2	6.186965811965812	936	2.5
3	5.965896589658971	606	3.0
4	5.73695652173913	345	2.25
5	5.822560975609758	328	1.7999999999999998
6	5.622916666666666	240	2.0
7	5.514837819185641	207	1.5714285714285712
8	5.677631578947368	190	1.25
9	5.620713305898489	162	1.5277777777777777
10	5.73478260869565	115	1.5999999999999996
11	5.487848784878488	101	1.3636363636363633
12	5.422364672364673	117	1.166666666666667
13	5.503589743589746	75	1.4615384615384617
14	5.403254972875226	79	1.5
15	5.3174603174603154	63	1.1000000000000005
16	5.178571428571429	56	1.078125
17	5.311359026369168	58	1.1764705882352944
18	5.219135802469135	54	1.1805555555555554
19	5.126315789473683	40	1.1315789473684212
20	5.288888888888888	36	1.4125000000000005
21	5.0606060606060606	33	1.095238095238095
22	5.072314049586777	22	1.2386363636363642
23	5.156010230179028	34	0.8804347826086953
24	5.125000000000001	20	1.135416666666667
25	5.167619047619048	21	1.0
26	5.027149321266968	17	0.8076923076923084
27	5.459259259259259	15	0.9814814814814818
28	5.219047619047619	15	0.6964285714285712
29	5.037356321839081	12	0.6551724137931032
30	5.344444444444444	9	0.36666666666666714
31	5.344086021505376	6	0.67741935483871
32	6.203125	4	2.078125
33	5.671717171717172	6	0.7803030303030294
35	5.057142857142857	1	0.0
36	5.680555555555555	2	0.541666666666667
37	6.945945945945946	1	0.0
38	4.223684210526316	2	0.38157894736842124
39	5.363247863247864	6	0.6602564102564106
40	5.35	1	0.0
41	5.560975609756097	1	0.0
42	4.7063492063492065	3	0.4404761904761907
45	5.555555555555555	1	0.0
46	5.760869565217391	2	0.3043478260869561
48	4.895833333333333	1	0.0
51	4.313725490196078	1	0.0
52	5.6923076923076925	1	0.0
56	4.982142857142857	1	0.0
59	4.745762711864407	1	0.0
