u1	u2	nobservations	iqr
1	5.8762541806020065	299	2.0
2	6.176733780760626	447	2.0
3	5.739451476793247	632	1.333333333333333
4	5.432558139534883	430	1.25
5	5.198669623059868	451	1.2000000000000002
6	5.365740740740742	324	0.8333333333333339
7	5.3500707213578504	202	1.0
8	5.170580110497237	181	1.25
9	5.253367003367005	132	1.0
10	5.064444444444446	90	1.0999999999999996
11	5.3520661157024785	55	1.1363636363636367
12	5.309782608695653	46	0.9375
13	5.3050397877984095	29	0.615384615384615
14	5.402255639097743	38	0.7321428571428568
15	5.326315789473684	19	0.833333333333333
16	5.2625	20	0.6875
17	5.518282988871226	37	0.47058823529411775
18	5.7817460317460325	14	1.1527777777777786
19	5.909774436090225	7	1.473684210526316
20	5.569999999999999	15	1.7999999999999998
21	5.649659863945579	14	0.4285714285714297
22	6.263636363636364	5	0.7272727272727275
23	5.459627329192547	7	0.7826086956521738
24	5.763888888888889	3	0.666666666666667
25	5.617777777777778	9	0.20000000000000018
26	4.7384615384615385	5	0.0
27	5.631944444444445	16	0.12037037037036935
28	5.357142857142857	1	0.0
29	4.844827586206897	2	0.5
30	5.341666666666667	4	0.6416666666666675
31	5.451612903225806	4	0.06451612903225801
32	5.697916666666667	3	0.3125
33	5.454545454545455	5	0.30303030303030365
34	5.073529411764706	2	0.48529411764705976
35	5.518367346938775	7	0.15714285714285747
36	5.434027777777778	8	0.2777777777777777
37	4.783783783783784	2	0.43243243243243157
38	5.342105263157895	1	0.0
40	5.391666666666667	3	0.33750000000000036
41	6.2439024390243905	2	0.926829268292682
43	5.453488372093023	2	0.24418604651162834
44	5.2272727272727275	1	0.0
46	6.891304347826087	1	0.0
48	5.583333333333333	1	0.0
51	5.509803921568627	2	0.19607843137254832
52	5.6923076923076925	1	0.0
54	5.722222222222222	1	0.0
55	5.6	1	0.0
58	5.741379310344828	3	0.3620689655172402
60	5.933333333333334	2	0.08333333333333393
61	5.852459016393443	1	0.0
62	6.451612903225806	1	0.0
67	5.447761194029851	1	0.0
69	4.797101449275362	1	0.0
71	5.408450704225352	1	0.0
72	5.027777777777778	1	0.0
74	5.337837837837838	1	0.0
77	5.545454545454546	1	0.0
81	6.679012345679013	1	0.0
94	5.297872340425532	1	0.0
