u1	u2	nobservations	iqr
1	3.977584629460201	2186	3.0
2	4.7518604651162795	2150	1.0
3	4.680504077094138	1349	1.6666666666666665
4	4.391829689298044	869	1.5
5	4.690140845070422	355	1.0
6	4.561244979919679	166	1.1666666666666665
7	4.780124223602486	115	1.0
8	4.535416666666666	120	0.78125
9	4.533670033670033	66	1.3888888888888893
10	4.828888888888889	45	1.0
11	4.7005347593582885	34	0.9772727272727275
12	4.8991228070175445	38	1.645833333333334
13	5.234817813765183	19	1.3461538461538458
14	5.166666666666667	12	1.0178571428571432
15	4.793650793650793	21	0.6666666666666661
16	4.819852941176471	17	0.5
17	5.272058823529411	24	1.0147058823529411
18	5.166666666666666	7	0.9722222222222232
19	4.686602870813399	22	0.8157894736842097
20	5.050000000000001	11	0.5
21	4.871148459383753	17	1.0476190476190483
22	4.863636363636363	3	0.3863636363636358
23	5.003105590062113	14	0.0
24	4.895833333333334	2	0.854166666666667
25	5.0114285714285725	7	0.5000000000000009
26	4.730769230769231	3	0.42307692307692335
27	4.37037037037037	1	0.0
28	4.964285714285714	3	0.4107142857142865
29	4.844827586206897	2	0.3620689655172411
30	4.7	1	0.0
31	4.967741935483871	1	0.0
32	5.177083333333333	3	0.453125
33	5.292929292929293	3	0.21212121212121193
34	5.617647058823529	1	0.0
36	6.277777777777778	2	1.083333333333334
38	5.434210526315789	2	0.19736842105263186
40	5.63125	4	0.6062499999999993
42	5.166666666666667	1	0.0
52	5.384615384615385	1	0.0
53	5.735849056603773	1	0.0
57	6.105263157894737	1	0.0
58	5.155172413793103	1	0.0
60	5.6	1	0.0
61	5.901639344262295	1	0.0
71	4.774647887323944	1	0.0
77	6.7272727272727275	1	0.0
86	5.0	1	0.0
99	4.898989898989899	1	0.0
