u1	u2	nobservations	iqr
1	11.0	1	0.0
2	4.9655172413793105	58	1.5
3	5.503030303030303	55	1.4999999999999991
4	5.171296296296297	108	1.25
5	5.1553956834532375	139	1.3999999999999995
6	5.271072796934865	174	0.8333333333333339
7	5.365079365079363	135	1.1428571428571423
8	5.334558823529412	136	1.15625
9	5.114666666666668	125	1.1111111111111107
10	5.046999999999999	100	1.0250000000000004
11	5.231016042780751	85	1.0909090909090908
12	5.059294871794871	104	1.25
13	5.0748155953635425	73	0.7692307692307692
14	5.00705467372134	81	0.8571428571428577
15	4.897142857142858	70	1.1166666666666663
16	4.962719298245614	57	0.8125
17	5.2413273001508305	39	0.9411764705882355
18	4.961904761904762	35	0.6111111111111116
19	5.145748987854252	52	0.9342105263157903
20	5.207407407407407	27	0.8250000000000002
21	4.9688013136289	29	0.4761904761904763
22	4.9928977272727275	32	0.5
23	5.0768115942029	30	0.6521739130434785
24	4.943627450980393	17	0.666666666666667
25	5.2628571428571425	14	0.5400000000000009
26	5.041420118343195	13	0.5384615384615383
27	4.764705882352942	17	0.5925925925925926
28	4.936507936507937	9	0.8214285714285712
29	5.580689655172414	25	0.1379310344827589
30	4.973333333333334	5	0.6333333333333337
31	4.866359447004608	7	0.41935483870967794
32	5.1953125	16	0.828125
33	5.329004329004329	7	0.3787878787878789
34	5.188235294117647	5	0.23529411764705888
35	5.354761904761904	12	0.15714285714285658
36	5.388888888888889	2	0.1388888888888884
37	4.657657657657658	6	0.37162162162162016
38	5.307017543859648	9	0.0789473684210531
39	5.297435897435898	5	1.0
40	5.025	5	0.4249999999999998
41	5.331707317073171	5	0.8292682926829276
42	5.456349206349206	6	0.625
43	5.018604651162791	5	0.9767441860465116
44	7.613636363636363	1	0.0
45	5.133333333333334	1	0.0
46	5.092391304347826	4	0.1358695652173907
47	4.74468085106383	2	0.06382978723404342
48	5.034722222222222	3	0.04166666666666696
49	5.071428571428571	2	0.4183673469387763
52	5.038461538461538	2	0.11538461538461586
55	4.490909090909091	1	0.0
56	4.892857142857143	1	0.0
57	5.309941520467837	3	0.4210526315789478
58	4.758620689655173	1	0.0
60	5.15	1	0.0
62	5.17741935483871	1	0.0
63	5.285714285714286	1	0.0
64	4.515625	1	0.0
67	5.343283582089552	1	0.0
68	5.323529411764706	1	0.0
69	4.898550724637682	1	0.0
70	6.185714285714285	2	0.31428571428571406
73	4.835616438356165	1	0.0
75	5.68	1	0.0
76	5.052631578947368	1	0.0
78	4.9743589743589745	3	0.0
79	4.962025316455696	1	0.0
83	5.289156626506024	1	0.0
86	5.348837209302325	1	0.0
87	5.425287356321839	1	0.0
88	4.943181818181818	1	0.0
99	5.525252525252525	1	0.0
113	6.601769911504425	1	0.0
117	5.188034188034188	1	0.0
123	5.154471544715447	1	0.0
129	5.0852713178294575	1	0.0
132	5.1439393939393945	2	0.022727272727272485
136	5.117647058823529	2	0.007352941176470118
140	5.078571428571428	1	0.0
141	5.127659574468085	1	0.0
166	4.72289156626506	1	0.0
