u1	u2	nobservations	iqr
1	8.269291338582677	7620	4.0
2	5.956432625604372	9514	2.5
3	5.462979068823553	11498	2.0
4	5.160587802410082	10871	1.75
5	5.042236559139798	9300	1.5999999999999996
6	4.98361385697747	7486	1.333333333333334
7	4.891998121276544	5779	1.1428571428571432
8	4.874658385093167	4025	1.125
9	4.8608293498115	2859	1.0
10	4.869219653179187	2076	1.0
11	4.871364582676175	1441	1.0
12	4.8529688972667335	1061	0.833333333333333
13	4.874170874170875	777	0.9230769230769225
14	4.922261484098942	566	0.9285714285714279
15	4.840579710144928	368	0.7333333333333334
16	4.906854838709678	310	0.8125
17	4.870250492541512	209	0.7647058823529411
18	4.874228395061727	144	0.958333333333333
19	4.962067330488384	111	0.8684210526315788
20	4.910344827586207	87	0.8999999999999995
21	5.024242424242425	55	1.0
22	4.846212121212122	60	0.7613636363636367
23	4.864262990455991	41	0.5652173913043486
24	4.966666666666668	35	0.6875000000000009
25	4.952000000000001	25	0.6799999999999997
26	4.86965811965812	18	0.7403846153846159
27	4.958024691358024	15	0.44444444444444464
28	5.380102040816326	14	0.45535714285714235
29	4.93103448275862	18	1.0775862068965516
30	4.923333333333332	10	0.8166666666666664
31	5.245161290322581	5	0.838709677419355
32	5.328125	4	0.125
33	4.808080808080809	6	0.6818181818181817
34	4.745098039215686	3	0.5882352941176476
35	4.4714285714285715	4	0.2571428571428571
36	5.541666666666666	2	0.013888888888889284
37	4.9324324324324325	2	0.3108108108108105
39	4.9743589743589745	1	0.0
40	4.765000000000001	5	0.125
41	5.130081300813008	3	0.6829268292682933
42	4.619047619047619	1	0.0
44	4.5227272727272725	1	0.0
45	5.133333333333333	2	0.1555555555555559
48	5.9375	1	0.0
50	4.28	1	0.0
53	5.60377358490566	1	0.0
62	5.225806451612903	1	0.0
75	4.986666666666666	1	0.0
108	4.537037037037037	1	0.0
131	4.9465648854961835	1	0.0
155	4.2064516129032254	1	0.0
