u1	u2	nobservations	iqr
1	2.9812891075876315	16461	2.0
2	2.724141027175865	16706	1.5
3	2.662426910802063	14309	2.0
4	2.627633410672854	10775	1.75
5	2.6634025410598103	6454	1.6
6	2.6570740005670603	3527	1.5000000000000002
7	2.6386142944624247	1633	1.2857142857142856
8	2.603780313837375	701	1.25
9	2.548897211818561	267	1.0
10	2.4702702702702704	111	0.8999999999999999
11	2.391120507399577	43	0.5909090909090908
12	2.1799999999999997	25	0.5833333333333335
13	2.6263736263736264	14	1.3461538461538458
14	2.2767857142857144	8	0.4464285714285716
15	2.1833333333333336	4	0.48333333333333317
18	2.1666666666666665	1	0.0
21	1.5714285714285714	1	0.0
