u1	u2	nobservations	iqr
1	4.814814814814815	1647	2.0
2	4.6040322580645165	620	2.0
3	4.617621527777784	768	1.333333333333333
4	4.640736342042755	842	1.25
5	4.5963008631319395	811	1.2000000000000002
6	4.629004329004327	770	1.333333333333333
7	4.619393687707642	688	1.2857142857142856
8	4.640839041095891	584	1.0
9	4.644365502269592	563	1.1111111111111116
10	4.670640176600444	453	0.8999999999999995
11	4.708024118738406	392	1.0
12	4.739675516224186	339	1.0
13	4.731707317073173	246	1.0
14	4.7666666666666675	195	0.8214285714285721
15	4.8043010752688176	186	0.8666666666666663
16	4.662417763157895	152	0.9375
17	4.7296094908551645	119	0.8235294117647056
18	4.804804804804803	111	0.7777777777777777
19	4.876229034123773	91	0.8157894736842106
20	4.835795454545456	88	0.7250000000000005
21	4.857142857142858	57	0.7142857142857144
22	4.849431818181819	64	0.6590909090909092
23	4.90264650283554	46	0.9891304347826084
24	4.877906976744185	43	0.75
25	4.77241379310345	29	0.7999999999999998
26	4.915119363395225	29	0.6153846153846159
27	4.916179337231969	19	0.8518518518518521
28	5.118131868131869	13	0.5357142857142856
29	5.101293103448277	16	0.8965517241379315
30	5.084848484848485	11	0.5333333333333332
31	5.183467741935483	16	0.9193548387096779
32	5.200892857142857	14	0.53125
33	5.048951048951049	13	0.8484848484848477
34	5.035294117647059	10	0.5514705882352944
35	5.580952380952381	9	0.5714285714285721
36	4.472222222222222	1	0.0
37	5.027027027027026	2	0.621621621621621
38	4.776315789473684	4	0.5394736842105265
39	5.051282051282051	2	0.07692307692307754
40	4.9	2	0.25
41	5.054878048780488	4	0.4817073170731705
42	5.190476190476191	1	0.0
43	5.133720930232558	4	0.5639534883720936
44	5.507575757575758	3	0.29545454545454586
47	5.914893617021277	1	0.0
48	4.854166666666667	1	0.0
49	6.040816326530612	1	0.0
50	5.34	2	0.5600000000000005
52	5.173076923076923	2	0.1538461538461542
54	5.555555555555555	2	0.27777777777777857
57	3.789473684210526	1	0.0
