u1	u2	nobservations	iqr
1	9.614525139664805	1074	7.0
2	8.210592686002522	793	5.0
3	7.287812041116008	681	4.0
4	6.883592017738359	451	2.75
5	6.719999999999998	210	3.1499999999999986
6	6.813868613138687	137	2.833333333333333
7	6.706260032102729	89	2.999999999999999
8	6.73125	40	2.875
9	6.308641975308642	27	2.0555555555555562
10	6.765000000000001	20	2.4750000000000005
11	5.945454545454545	5	0.2727272727272725
12	6.604166666666667	4	0.6875
13	7.476923076923076	5	5.384615384615384
14	6.023809523809525	3	0.75
15	7.266666666666667	1	0.0
16	7.25	1	0.0
18	6.166666666666667	1	0.0
19	8.105263157894736	1	0.0
20	5.5	1	0.0
24	6.75	1	0.0
