u1	u2	nobservations	iqr
1	2.378026070763501	1074	1.0
2	2.5813366960907946	793	1.0
3	2.5829662261380335	681	1.0
4	2.643569844789357	451	0.75
5	2.6942857142857153	210	0.6000000000000001
6	2.817518248175181	137	1.0
7	2.834670947030497	89	0.7142857142857144
8	2.93125	40	0.65625
9	2.9670781893004112	27	0.666666666666667
10	3.035	20	0.7249999999999996
11	2.8	5	0.9090909090909092
12	3.125	4	0.5
13	2.923076923076923	5	0.07692307692307665
14	2.8571428571428577	3	0.17857142857142883
15	2.6	1	0.0
16	3.0	1	0.0
18	2.7777777777777777	1	0.0
19	2.5789473684210527	1	0.0
20	2.7	1	0.0
24	3.4166666666666665	1	0.0
