u1	u2	nobservations	iqr
1	5.536585365853658	41	2.0
2	4.583333333333333	36	3.5
3	4.000000000000002	70	0.9999999999999996
4	4.686046511627907	43	1.75
5	4.176666666666666	60	1.4499999999999997
6	4.840796019900497	67	1.333333333333333
7	4.638528138528138	66	1.2857142857142856
8	4.45875	100	1.25
9	4.416666666666667	116	1.1111111111111112
10	4.630769230769231	104	1.0
11	4.474025974025975	112	1.0
12	4.475146198830408	114	0.8333333333333339
13	4.27576197387518	106	0.8846153846153837
14	4.283986175115207	124	0.9285714285714288
15	4.273584905660376	106	0.6666666666666665
16	4.32409793814433	97	0.875
17	4.19434832756632	102	0.8088235294117645
18	4.276276276276275	111	0.7777777777777781
19	4.2078947368421025	80	0.763157894736842
20	4.278191489361703	94	0.7374999999999994
21	4.21060382916053	97	0.714285714285714
22	4.18987341772152	79	0.7272727272727275
23	4.13729977116705	76	0.9130434782608696
24	4.2023809523809526	91	0.6875
25	4.353749999999999	64	0.6799999999999997
26	4.288461538461538	60	0.7307692307692304
27	4.389527458492976	58	0.6203703703703711
28	4.240929705215419	63	0.660714285714286
29	4.275862068965518	81	0.6206896551724137
30	4.2272727272727275	44	0.4833333333333334
31	4.172903225806451	50	0.5403225806451606
32	4.222756410256411	39	0.5625
33	4.272005772005771	42	0.5227272727272725
34	4.259073842302879	47	0.47058823529411775
35	4.299633699633699	39	0.3857142857142861
36	4.2927350427350435	39	0.7222222222222223
37	4.299227799227799	42	0.5608108108108105
38	4.243609022556391	35	0.46052631578947345
39	4.270216962524654	39	0.6282051282051277
40	4.330405405405405	37	0.5250000000000004
41	4.397212543554007	21	0.6585365853658534
42	4.296296296296296	36	0.5178571428571432
43	4.2579281183932345	22	0.44186046511627897
44	4.334545454545455	25	0.5681818181818175
45	4.277777777777778	20	0.3277777777777784
46	4.3765217391304345	25	0.43478260869565233
47	4.383865248226949	24	0.3989361702127656
48	4.347916666666667	20	0.38020833333333304
49	4.290352504638218	22	0.4336734693877551
50	4.446	20	0.5349999999999993
51	4.3257918552036205	13	0.41176470588235325
52	4.46923076923077	15	0.615384615384615
53	4.31082423038729	19	0.4905660377358485
54	4.290448343079922	19	0.45370370370370416
55	4.426573426573427	13	0.545454545454545
56	4.278061224489796	14	0.25892857142857295
57	4.328173374613003	17	0.5087719298245617
58	4.294429708222811	13	0.4482758620689653
59	4.215716486902927	11	0.16949152542372925
60	4.425555555555556	15	0.47499999999999964
61	4.428571428571429	14	0.2950819672131155
62	4.224857685009488	17	0.25806451612903203
63	4.363095238095238	8	0.07539682539682602
64	4.4	10	1.22265625
65	4.317948717948718	9	0.23076923076923084
66	4.158508158508158	13	0.4090909090909087
67	4.276119402985074	8	0.5037313432835817
68	4.408088235294119	12	0.3566176470588225
69	4.340579710144928	8	0.5181159420289854
70	4.277777777777778	9	0.40000000000000036
71	4.330203442879498	9	0.507042253521127
72	4.236111111111111	9	0.2638888888888884
73	4.4520547945205475	5	0.13698630136986267
74	4.241741741741742	9	0.24324324324324387
75	4.184	5	0.3999999999999999
76	4.625	2	0.07236842105263186
77	4.298701298701299	3	0.20779220779220786
78	4.206730769230769	8	0.1762820512820502
79	4.430379746835443	12	0.3639240506329111
80	4.4875	2	0.38750000000000107
81	4.320987654320988	4	0.22839506172839563
82	4.138211382113821	3	0.47560975609756095
83	4.401606425702811	6	0.5210843373493974
84	4.246031746031746	6	0.41666666666666696
85	4.344537815126051	7	0.4058823529411768
86	4.497093023255814	4	0.1889534883720927
87	4.29064039408867	7	0.0862068965517242
88	4.534090909090909	1	0.0
89	4.035580524344569	6	0.558988764044944
90	4.188888888888889	3	0.1888888888888891
91	4.461538461538462	1	0.0
92	4.360869565217391	5	0.5
93	4.35483870967742	2	0.47311827956989294
94	4.308510638297872	7	0.3351063829787231
95	4.33859649122807	6	0.14999999999999947
96	4.222222222222222	3	0.35416666666666696
97	4.329896907216495	1	0.0
98	4.357142857142857	1	0.0
99	4.279461279461279	3	0.1313131313131315
100	4.15	1	0.0
101	4.574257425742574	1	0.0
103	4.233009708737864	1	0.0
105	4.2785714285714285	4	0.1119047619047624
108	4.083333333333333	1	0.0
109	4.321100917431193	1	0.0
110	4.575757575757575	3	0.32727272727272716
112	3.625	1	0.0
113	3.9646017699115044	2	0.00884955752212413
114	4.552631578947368	4	0.2938596491228065
115	4.573913043478261	1	0.0
116	4.2844827586206895	1	0.0
117	4.264957264957265	1	0.0
121	4.586776859504132	1	0.0
122	4.172131147540983	1	0.0
123	4.0894308943089435	1	0.0
124	4.544354838709678	2	0.10887096774193594
126	4.023809523809524	1	0.0
127	4.52755905511811	1	0.0
137	4.160583941605839	1	0.0
140	4.178571428571429	1	0.0
141	4.631205673758865	1	0.0
143	4.083916083916084	1	0.0
144	3.9444444444444446	1	0.0
149	4.080536912751678	1	0.0
150	4.586666666666667	1	0.0
160	4.275	1	0.0
161	4.186335403726708	1	0.0
164	4.682926829268292	1	0.0
180	4.316666666666666	1	0.0
224	4.15625	1	0.0
261	3.835249042145594	1	0.0
