u1	u2	nobservations	iqr
1	6.539118065433855	703	3.0
2	5.606391925988225	1189	2.5
3	5.459834534294107	1249	2.666666666666667
4	5.5464684014869885	1076	2.5
5	5.589671361502348	852	2.1999999999999993
6	5.530396702730548	647	1.833333333333333
7	5.657827202737384	501	1.8571428571428568
8	5.921610169491525	354	1.875
9	5.947070707070705	275	1.666666666666667
10	6.258426966292136	178	1.7750000000000004
11	6.173389524382897	151	2.090909090909091
12	6.291666666666669	108	1.791666666666667
13	6.124320124320126	99	2.0
14	6.311383928571429	64	1.375
15	6.3833333333333355	48	1.6833333333333336
16	6.616071428571429	49	1.5
17	6.928308823529413	32	2.4558823529411757
18	6.888888888888888	19	1.4999999999999991
19	7.003095975232197	17	1.1578947368421053
20	6.041176470588235	17	2.1999999999999993
21	7.29004329004329	11	1.3571428571428577
22	7.136363636363637	4	2.1818181818181825
23	6.826086956521739	5	1.0869565217391308
24	7.201388888888888	6	1.78125
25	7.2	3	1.1400000000000006
26	6.461538461538461	6	3.115384615384614
27	7.209876543209877	3	0.3703703703703711
28	7.589285714285715	4	0.642857142857145
29	7.241379310344827	1	0.0
30	6.355555555555555	3	0.2166666666666659
31	6.935483870967742	2	0.41935483870967616
33	7.515151515151516	1	0.0
34	9.647058823529411	1	0.0
35	7.942857142857143	1	0.0
36	7.342592592592593	3	1.4722222222222214
39	7.17948717948718	1	0.0
41	10.0	1	0.0
42	8.547619047619047	1	0.0
78	6.6923076923076925	1	0.0
