u1	u2	nobservations	iqr
1	4.181802335715531	11474	4.0
2	6.003628666465074	3307	3.5
3	6.157589803012741	1726	2.666666666666666
4	6.05410447761194	1072	2.75
5	6.142465753424657	730	2.6000000000000005
6	6.0888888888888895	525	2.333333333333334
7	6.101337086558763	406	2.2857142857142865
8	6.140162721893491	338	2.34375
9	6.011770244821089	236	2.1388888888888893
10	6.353809523809521	210	2.0749999999999993
11	6.112579281183931	172	2.2727272727272725
12	5.941489361702124	141	1.916666666666667
13	6.319397993311039	92	1.9615384615384617
14	6.101265822784808	79	2.250000000000001
15	6.131216931216931	63	1.5333333333333332
16	6.047574626865671	67	2.125
17	6.09986320109439	43	2.0294117647058822
18	6.330687830687832	42	2.1805555555555562
19	6.381578947368422	32	2.223684210526316
20	6.367241379310343	29	1.7000000000000002
21	5.852130325814535	19	1.4523809523809526
22	6.2132867132867124	13	1.2272727272727266
23	6.4113712374581935	13	2.2608695652173916
24	5.825	5	1.666666666666667
25	6.5600000000000005	7	2.6999999999999993
26	4.423076923076923	1	0.0
27	5.564814814814815	4	0.37962962962962976
28	6.273809523809523	3	2.321428571428571
29	5.827586206896552	2	0.1724137931034484
31	6.236559139784945	3	1.35483870967742
32	6.34375	5	1.84375
34	5.985294117647059	4	0.6029411764705879
35	6.133333333333334	3	1.2142857142857135
36	5.5	1	0.0
39	4.769230769230769	1	0.0
44	9.795454545454545	1	0.0
