u1	u2	nobservations	iqr
1	7.011345218800648	617	5.0
2	5.71356783919598	597	3.5
3	5.244186046511628	430	2.6666666666666665
4	5.104674796747967	246	2.25
5	4.74010695187166	187	2.099999999999999
6	4.6598639455782305	98	2.0416666666666665
7	4.709359605911332	87	1.1428571428571428
8	4.752840909090909	44	1.96875
9	4.6923076923076925	26	2.083333333333334
10	4.113043478260869	23	1.3499999999999996
11	5.324675324675324	14	2.113636363636364
12	4.388888888888889	9	1.6666666666666665
13	4.461538461538462	3	1.115384615384615
14	4.642857142857143	11	1.3928571428571423
15	4.555555555555556	3	0.9333333333333327
16	4.40625	2	1.09375
17	4.176470588235294	1	0.0
18	4.222222222222222	2	0.33333333333333304
20	3.25	1	0.0
24	3.0	2	0.541666666666667
