u1	u2	nobservations	iqr
1	5.277777777777778	18	3.0
2	5.404255319148936	47	3.0
3	5.4356060606060606	88	3.0
4	5.866666666666666	90	2.25
5	5.076271186440675	118	1.9500000000000002
6	5.50462962962963	108	1.833333333333333
7	5.499378881987578	115	1.5714285714285712
8	5.777272727272727	110	1.875
9	5.5317460317460325	112	1.8888888888888884
10	5.66019417475728	103	1.7000000000000002
11	5.48720211827008	103	1.636363636363635
12	5.733333333333335	75	1.708333333333334
13	5.904453441295546	95	1.8076923076923075
14	5.892481203007519	95	1.75
15	5.945396825396829	105	1.7333333333333334
16	5.9816666666666665	75	1.46875
17	5.786683904330961	91	1.8529411764705879
18	6.084474885844748	73	1.7777777777777777
19	6.025854108956603	57	2.105263157894737
20	5.9352459016393455	61	1.8499999999999996
21	6.42274052478134	49	1.3809523809523814
22	5.9125874125874125	52	1.4318181818181817
23	5.9504347826086965	50	1.4021739130434785
24	6.011054421768707	49	1.791666666666666
25	5.712727272727271	33	1.7599999999999998
26	5.887267904509283	29	2.0384615384615383
27	5.598765432098764	36	1.6018518518518512
28	6.463203463203464	33	1.428571428571428
29	6.09080459770115	30	1.7672413793103443
30	6.004166666666666	24	1.5249999999999995
31	5.817617866004962	26	0.862903225806452
32	5.713235294117647	17	1.25
33	6.057971014492751	23	1.5909090909090908
34	6.304953560371517	19	1.617647058823529
35	5.864285714285714	24	1.5928571428571425
36	5.648809523809524	14	1.020833333333334
37	5.721283783783783	16	0.9054054054054053
38	6.439849624060151	7	1.2368421052631575
39	5.564102564102565	3	0.9743589743589745
40	6.229166666666667	6	0.5062500000000005
41	5.799999999999999	10	1.1036585365853666
42	5.923809523809524	10	1.7202380952380958
43	5.823255813953489	5	1.279069767441861
44	5.295454545454545	5	0.5
45	5.637037037037037	3	0.7666666666666675
46	5.4021739130434785	4	0.6739130434782616
47	6.817629179331307	7	2.4468085106382986
48	6.3875	5	2.5
49	5.913265306122449	4	1.7908163265306118
50	7.199999999999999	4	1.13
51	6.326797385620915	3	1.568627450980392
52	6.276923076923077	5	1.9230769230769234
53	5.325471698113208	4	0.9292452830188678
54	6.074074074074074	2	0.7962962962962967
55	5.681818181818182	2	0.754545454545454
56	5.371428571428572	5	0.32142857142857206
57	5.8508771929824555	2	0.552631578947369
58	6.439655172413794	2	0.4741379310344822
59	6.556497175141243	6	1.3177966101694913
61	6.0	3	0.8442622950819674
62	7.907258064516129	4	0.44758064516129004
63	5.507936507936508	1	0.0
64	5.53125	1	0.0
65	6.4	2	0.7384615384615394
67	4.641791044776119	1	0.0
68	6.5735294117647065	2	0.6764705882352944
69	5.550724637681159	1	0.0
70	4.5285714285714285	1	0.0
72	4.722222222222222	1	0.0
73	6.616438356164384	1	0.0
74	5.391891891891891	2	0.3243243243243237
75	5.426666666666667	1	0.0
76	5.407894736842105	1	0.0
78	4.948717948717949	1	0.0
79	4.6075949367088604	2	0.06329113924050578
80	4.75	1	0.0
82	5.530487804878049	2	0.6524390243902438
83	6.674698795180723	1	0.0
84	5.559523809523809	1	0.0
85	4.9411764705882355	1	0.0
86	4.976744186046512	1	0.0
88	5.605113636363637	4	0.32670454545454497
