u1	u2	nobservations	iqr
1	6.584615384615384	65	5.0
2	3.0486486486486486	555	2.0
3	3.2109826589595394	346	1.6666666666666665
4	2.9185684647302903	482	1.5
5	2.9711009174311953	436	1.0
6	2.9614472123368927	281	1.1666666666666665
7	2.852923447860156	237	0.7142857142857144
8	3.002083333333333	120	1.125
9	2.7914230019493167	57	0.6666666666666665
10	2.8656249999999996	32	0.625
11	2.9870129870129873	14	0.7727272727272729
12	3.3518518518518525	9	1.0
13	2.923076923076923	2	0.6153846153846159
14	2.857142857142857	1	0.0
15	3.333333333333333	2	0.06666666666666599
16	3.59375	2	0.53125
17	3.3529411764705883	2	0.11764705882352944
