u1	u2	nobservations	iqr
1	5.129251700680272	294	4.0
2	4.545454545454546	363	2.75
3	4.362500000000001	160	1.6666666666666665
4	4.107142857142857	98	1.25
5	4.227450980392156	51	1.3000000000000003
6	4.0964912280701755	19	1.083333333333334
7	4.114285714285714	10	1.4285714285714293
8	4.520833333333333	6	1.03125
9	4.938271604938271	9	0.666666666666667
10	4.316666666666666	6	1.725000000000001
11	5.181818181818182	4	0.954545454545455
12	6.583333333333333	1	0.0
13	6.076923076923077	1	0.0
15	3.8	1	0.0
16	4.5625	1	0.0
23	5.217391304347826	1	0.0
