u1	u2	nobservations	iqr
1	2.6156462585034013	294	1.75
2	2.772727272727273	363	1.5
3	2.889583333333334	160	1.0
4	2.760204081632653	98	0.75
5	2.9686274509803923	51	0.8999999999999999
6	2.798245614035088	19	0.583333333333333
7	2.8	10	0.535714285714286
8	2.7708333333333335	6	0.1875
9	2.8271604938271606	9	0.5555555555555558
10	2.966666666666667	6	0.9249999999999998
11	3.3636363636363633	4	0.7272727272727271
12	3.3333333333333335	1	0.0
13	3.4615384615384617	1	0.0
15	2.3333333333333335	1	0.0
16	2.9375	1	0.0
23	3.260869565217391	1	0.0
