u1	u2	nobservations	iqr
1	6.25	8	10.0
2	4.702127659574468	47	2.75
3	3.8130081300813004	41	2.3333333333333335
4	3.8207547169811322	53	2.75
5	3.443835616438356	73	1.6
6	3.191287878787877	88	1.375
7	3.0426929392446636	87	1.0
8	3.0482456140350878	57	1.0
9	2.79710144927536	69	1.0
10	2.9689655172413807	58	1.0250000000000004
11	2.9933884297520663	55	0.7272727272727275
12	3.004694835680751	71	0.5
13	2.8371040723981893	34	0.8269230769230771
14	2.9472789115646263	42	0.6428571428571428
15	2.963218390804598	29	0.6666666666666665
16	2.7119565217391304	23	0.6875
17	2.8642533936651584	26	0.22058823529411775
18	2.8492063492063493	21	0.6111111111111112
19	2.8567251461988312	18	0.6447368421052633
20	2.9384615384615387	13	0.3500000000000001
21	3.0148809523809526	16	0.8333333333333335
22	2.7772727272727264	10	0.2613636363636367
23	3.0946291560102304	17	0.8260869565217392
24	3.041666666666667	4	0.35416666666666696
25	2.6449999999999996	8	0.4200000000000004
26	2.8205128205128207	6	0.42307692307692335
27	2.8796296296296298	4	0.342592592592593
28	3.107142857142857	3	0.9285714285714284
29	2.7044334975369457	7	0.39655172413793105
30	3.577777777777778	3	0.4833333333333334
31	3.032258064516129	1	0.0
32	2.375	1	0.0
33	2.5454545454545454	1	0.0
34	2.9215686274509807	3	0.11764705882352944
36	2.9583333333333335	2	0.01388888888888884
37	3.027027027027027	4	0.41891891891891886
39	2.8205128205128207	1	0.0
41	2.951219512195122	1	0.0
42	2.9761904761904763	2	0.0
43	2.813953488372093	1	0.0
44	4.818181818181818	1	0.0
45	2.7333333333333334	2	0.13333333333333286
47	2.882978723404255	2	0.4361702127659579
50	2.52	1	0.0
54	2.462962962962963	2	0.29629629629629584
56	3.2857142857142856	1	0.0
57	3.087719298245614	1	0.0
60	2.433333333333333	1	0.0
61	2.8524590163934427	1	0.0
69	2.782608695652174	1	0.0
73	3.041095890410959	1	0.0
79	2.7721518987341773	2	0.07594936708860756
120	2.691666666666667	1	0.0
