u1	u2	nobservations	iqr
1	7.241144414168938	1468	4.0
2	6.686969799796403	2947	3.0
3	6.399960749681103	3397	2.666666666666667
4	6.397991711826586	3137	2.0
5	6.395841355410096	2597	1.6000000000000005
6	6.369391417849549	2043	1.5
7	6.496255569248268	1507	1.4285714285714288
8	6.549843889384478	1121	1.25
9	6.599493595472148	746	1.333333333333333
10	6.63612334801762	454	1.2999999999999998
11	6.698824984539266	294	1.2727272727272725
12	6.742647058823532	204	1.104166666666667
13	6.762820512820514	144	1.25
14	6.747142857142853	100	1.0714285714285712
15	6.731400966183574	69	0.8666666666666671
16	6.701388888888889	45	0.9375
17	6.89366515837104	26	1.0294117647058822
18	6.6230158730158735	14	1.1111111111111116
19	6.552631578947369	16	1.5526315789473681
20	7.433333333333334	3	0.5
21	6.650793650793649	3	1.4761904761904763
22	7.242424242424242	3	0.5227272727272734
23	7.246376811594203	3	0.9565217391304355
24	6.8194444444444455	3	0.833333333333333
25	6.359999999999999	2	0.7999999999999998
26	6.346153846153846	1	0.0
28	6.767857142857142	2	0.5535714285714288
29	8.137931034482758	1	0.0
