u1	u2	nobservations	iqr
1	5.743851783477286	30334	4.0
2	7.007466451417617	9911	3.0
3	6.95307996514511	4973	2.333333333333333
4	6.898633257403189	3073	2.25
5	6.799241346609773	2109	1.7999999999999998
6	6.730445657116875	1466	1.666666666666667
7	6.679593851360883	1013	1.571428571428572
8	6.657354797979798	792	1.5
9	6.659233176838812	568	1.5555555555555554
10	6.6374670184696605	379	1.3999999999999995
11	6.688044831880443	292	1.3636363636363633
12	6.638888888888888	201	1.083333333333334
13	6.500526870389885	146	1.3076923076923075
14	6.5808080808080796	99	1.0714285714285712
15	6.6725925925925935	45	1.2000000000000002
16	6.621710526315789	38	1.15625
17	6.36078431372549	30	0.9411764705882355
18	6.787037037037037	18	1.333333333333333
19	6.615131578947369	16	1.3684210526315788
20	6.300000000000001	6	0.34999999999999964
21	7.142857142857142	2	0.8095238095238093
22	5.636363636363637	1	0.0
23	6.7101449275362315	3	0.3913043478260869
24	7.083333333333333	1	0.0
25	6.36	1	0.0
28	8.142857142857142	1	0.0
