u1	u2	nobservations	iqr
2	5.847222222222222	72	3.5
3	5.743478260869568	230	2.0
4	6.047297297297297	407	1.5
5	6.115057915057914	518	1.3999999999999995
6	6.268093781855252	654	1.333333333333333
7	6.368031358885012	656	1.4285714285714288
8	6.470451289398281	698	1.375
9	6.586578991738327	659	1.333333333333333
10	6.493790849673204	612	1.2999999999999998
11	6.570500927643782	588	1.2727272727272725
12	6.534423676012453	535	1.25
13	6.545691150954314	532	1.2307692307692308
14	6.51111474338019	437	1.2857142857142865
15	6.598989898989901	396	1.2000000000000002
16	6.592463235294118	340	1.0625
17	6.601355783949268	269	1.0588235294117654
18	6.546794871794874	260	1.0
19	6.631065468549424	205	1.1578947368421053
20	6.6429577464788725	142	0.9499999999999993
21	6.515620260843189	157	1.1428571428571423
22	6.744755244755246	104	0.829545454545455
23	6.621951219512193	82	0.8152173913043477
24	6.627415458937199	69	1.041666666666667
25	6.518297872340426	47	0.6199999999999992
26	6.553113553113553	42	0.7596153846153841
27	6.38441890166028	29	0.7407407407407405
28	6.701127819548873	19	1.0178571428571423
29	6.457471264367816	15	0.7241379310344822
30	6.921428571428572	14	0.7583333333333329
31	6.741935483870968	6	0.9516129032258069
32	6.875	7	0.796875
33	6.474747474747474	3	0.5151515151515147
35	6.304761904761905	3	0.40000000000000036
36	6.277777777777778	1	0.0
37	6.675675675675675	1	0.0
38	6.468421052631578	5	0.6052631578947363
50	6.52	1	0.0
