u1	u2	nobservations	iqr
1	4.61978241563055	36032	4.0
2	5.4351234048066335	15437	3.0
3	5.612874880611294	8725	2.333333333333334
4	5.7534419235989915	5157	2.25
5	5.789340247767215	3471	2.0
6	5.764694433631766	2569	2.0
7	5.807394604343585	1901	1.7142857142857144
8	5.739000745712155	1341	1.625
9	5.739538239538231	1078	1.5555555555555554
10	5.758726415094335	848	1.4000000000000004
11	5.786666666666656	675	1.4545454545454541
12	5.680779569892477	496	1.416666666666666
13	5.763153325230077	443	1.3076923076923084
14	5.819571865443426	327	1.5
15	5.721768707482995	294	1.4499999999999993
16	5.7156398104265405	211	1.1875
17	5.7886611658237985	221	1.117647058823529
18	5.82207697893972	153	1.333333333333333
19	5.780845556514235	122	1.4210526315789478
20	5.928061224489796	98	1.325000000000001
21	5.609649122807016	76	1.5833333333333348
22	5.612794612794615	54	1.2045454545454541
23	5.6982097186700775	51	1.08695652173913
24	5.793367346938776	49	1.458333333333333
25	5.890909090909091	33	1.12
26	5.97737556561086	34	1.0673076923076925
27	5.6188271604938285	24	0.5833333333333339
28	6.261278195488721	19	1.696428571428572
29	5.694581280788178	21	0.931034482758621
30	5.509803921568626	17	1.166666666666667
31	5.764976958525345	7	0.5967741935483861
32	5.552083333333333	9	0.84375
33	6.666666666666668	6	0.8787878787878798
34	6.2176470588235295	5	0.5
35	6.257142857142856	4	1.5571428571428578
36	6.5	2	1.3055555555555545
37	6.454054054054053	5	0.5675675675675675
38	6.68421052631579	3	1.197368421052631
39	5.833333333333333	2	0.47435897435897445
42	6.55952380952381	2	0.6309523809523814
44	6.056818181818182	2	0.6931818181818183
47	7.723404255319149	1	0.0
48	5.854166666666667	1	0.0
52	7.384615384615385	1	0.0
55	6.5636363636363635	1	0.0
57	7.543859649122807	1	0.0
66	6.848484848484849	1	0.0
76	6.684210526315789	1	0.0
