u1	u2	nobservations	iqr
1	6.251584283903676	11046	5.0
2	5.29547308319739	4904	3.0
3	4.907873507583099	2066	2.6666666666666665
4	4.739630044843049	892	2.0
5	4.470724637681156	345	1.8000000000000003
6	4.535140562248995	166	1.666666666666667
7	4.299765807962529	61	2.0000000000000004
8	4.154761904761905	42	1.34375
9	4.148148148148148	18	1.1111111111111116
10	4.949999999999999	8	2.0999999999999996
11	4.909090909090909	3	0.22727272727272663
12	5.166666666666667	2	0.25
13	3.8461538461538463	1	0.0
14	5.785714285714286	1	0.0
15	3.1333333333333333	1	0.0
16	5.375	1	0.0
17	3.411764705882353	1	0.0
