u1	u2	nobservations	iqr
1	2.1352525801195004	11046	2.0
2	2.3463499184339316	4904	1.5
3	2.4354630525976133	2066	1.0
4	2.4885089686098656	892	1.0
5	2.4713043478260865	345	0.5999999999999996
6	2.474899598393574	166	0.666666666666667
7	2.3840749414519906	61	0.7142857142857144
8	2.3988095238095237	42	0.59375
9	2.518518518518519	18	0.6944444444444438
10	2.25	8	0.575
11	2.484848484848485	3	0.18181818181818166
12	2.375	2	0.375
13	2.3846153846153846	1	0.0
14	2.7857142857142856	1	0.0
15	2.0	1	0.0
16	2.5625	1	0.0
17	2.235294117647059	1	0.0
