u1	u2	nobservations	iqr
1	5.807017543859649	57	3.0
2	4.917582417582418	91	1.75
3	4.282051282051283	169	1.6666666666666665
4	4.142857142857143	154	1.5
5	4.115384615384615	156	1.4500000000000002
6	4.1279761904761925	112	1.041666666666667
7	4.4453781512605035	85	0.8571428571428568
8	4.356343283582089	67	1.25
9	4.35632183908046	58	0.7222222222222223
10	4.391304347826086	46	0.875
11	4.639296187683283	31	0.9545454545454541
12	4.761261261261261	37	0.75
13	4.560897435897435	24	0.9423076923076925
14	4.747619047619048	15	1.0357142857142856
15	4.239999999999999	5	0.33333333333333304
16	5.208333333333333	6	0.46875
17	4.426470588235294	8	0.75
18	4.648148148148148	3	0.3888888888888893
19	4.894736842105264	2	0.6315789473684204
20	4.0	3	0.1250000000000009
21	5.190476190476191	1	0.0
22	6.090909090909091	1	0.0
24	5.416666666666667	1	0.0
25	4.64	1	0.0
