u1	u2	nobservations	iqr
1	3.05938123752495	2004	2.0
2	4.036328871892925	523	2.0
3	4.261477045908186	334	1.6666666666666665
4	4.519417475728155	206	2.0
5	4.454545454545454	110	1.4
6	4.308943089430893	82	1.3333333333333335
7	4.66576819407008	53	1.8571428571428568
8	4.429166666666666	30	0.96875
9	4.740740740740741	33	1.1111111111111116
10	4.581818181818182	22	1.5750000000000006
11	4.505050505050504	9	1.0909090909090908
12	4.5	4	2.0833333333333335
13	4.3076923076923075	6	0.9423076923076921
15	5.15	4	0.31666666666666643
16	4.708333333333333	3	0.84375
17	5.235294117647059	1	0.0
18	4.611111111111111	1	0.0
19	6.578947368421052	1	0.0
