u1	u2	nobservations	iqr
1	3.0	2	2.0
2	5.444444444444445	27	1.75
3	4.326797385620915	51	1.666666666666667
4	4.360169491525424	59	1.25
5	3.9478260869565207	69	1.3999999999999995
6	3.8703703703703707	72	1.2083333333333335
7	3.9310344827586206	58	1.1428571428571432
8	4.033653846153846	52	1.28125
9	3.9618055555555562	64	1.0
10	4.240909090909091	44	1.4250000000000007
11	4.517045454545454	32	1.1136363636363633
12	4.2	35	1.0000000000000004
13	4.293447293447294	27	1.0
14	4.4507389162561575	29	1.1428571428571428
15	4.252380952380952	28	0.8499999999999996
16	4.230263157894737	19	1.0625
17	4.431372549019607	21	0.7058823529411766
18	4.736111111111111	4	0.8472222222222223
19	4.590643274853801	9	0.7368421052631584
20	4.615	10	0.7875000000000005
21	4.303030303030303	11	0.7857142857142856
22	4.454545454545455	5	0.22727272727272751
23	4.486956521739129	5	1.2608695652173911
24	4.6309523809523805	7	0.645833333333333
25	4.42	4	0.16000000000000014
26	4.576923076923077	2	0.1538461538461542
27	4.325925925925926	5	0.7777777777777772
28	3.982142857142857	2	0.017857142857143238
29	4.448275862068965	2	0.2413793103448274
30	5.833333333333333	1	0.0
31	3.774193548387097	1	0.0
32	4.0	1	0.0
39	4.564102564102564	1	0.0
