u1	u2	nobservations	iqr
1	5.872549019607843	714	3.0
2	5.087155963302752	2180	2.0
3	4.779142779142776	2442	2.0000000000000004
4	4.910092320604281	2383	1.75
5	4.937769784172661	2224	1.7999999999999998
6	5.097248727735377	2096	1.5
7	5.092006697805592	1621	1.4285714285714288
8	5.198434991974318	1246	1.25
9	5.2554909560723475	1032	1.4444444444444446
10	5.3396530359355685	807	1.2999999999999998
11	5.340607845762483	679	1.1818181818181817
12	5.4069593787335695	558	1.3125
13	5.397405872815706	427	1.1538461538461542
14	5.412394957983188	340	1.0178571428571432
15	5.412217795484732	251	1.166666666666667
16	5.533039647577093	227	1.0625
17	5.489740082079344	172	1.1323529411764701
18	5.557109557109555	143	1.083333333333333
19	5.498245614035087	105	0.9473684210526319
20	5.446470588235294	85	0.8499999999999996
21	5.45852534562212	62	0.9285714285714288
22	5.4362041467304625	57	0.7272727272727275
23	5.437815975733063	43	0.9130434782608692
24	5.645833333333335	32	0.84375
25	5.835	24	0.8199999999999994
26	5.5085470085470085	18	0.7499999999999991
27	5.4907407407407405	16	1.0740740740740744
28	5.533163265306122	14	0.9285714285714288
29	5.746305418719212	14	0.8793103448275863
30	5.528571428571428	14	0.7416666666666671
31	5.78494623655914	6	0.653225806451613
32	5.493055555555555	9	0.59375
33	5.828282828282828	6	1.378787878787878
34	5.544117647058824	2	0.6617647058823524
35	6.942857142857143	1	0.0
36	5.486111111111111	4	0.29166666666666696
37	5.472972972972973	6	0.9459459459459456
38	6.0964912280701755	3	0.7105263157894735
39	5.705128205128205	2	0.06410256410256387
40	5.5	1	0.0
41	5.520325203252033	3	0.04878048780487809
43	6.325581395348837	1	0.0
44	6.431818181818182	1	0.0
46	5.467391304347826	2	0.010869565217390686
