u1	u2	nobservations	iqr
1	3.67760184570652	31641	3.0
2	5.205741316744427	7716	3.0
3	5.08855438025494	4916	2.0
4	5.202119883040936	3420	2.25
5	5.140534077321637	2509	1.7999999999999998
6	5.236972492738779	1951	1.833333333333334
7	5.200296589223931	1445	1.5714285714285712
8	5.2860576923076925	1144	1.5
9	5.175527098693573	859	1.4444444444444446
10	5.258581560283685	705	1.3000000000000007
11	5.264247984431473	654	1.3636363636363633
12	5.200683593750002	512	1.333333333333333
13	5.290301003344486	345	1.384615384615385
14	5.317605941459153	327	1.1428571428571423
15	5.247086247086247	286	1.1833333333333327
16	5.276902173913044	230	1.296875
17	5.352941176470589	169	1.0588235294117654
18	5.295402298850572	145	1.0
19	5.249662618083671	117	0.9473684210526319
20	5.25989010989011	91	0.9750000000000005
21	5.4043441938178765	57	1.1428571428571423
22	5.253246753246755	56	1.1363636363636367
23	5.309782608695651	56	0.9891304347826084
24	5.308035714285715	28	1.291666666666667
25	5.251851851851853	27	0.5
26	5.321428571428571	28	1.3365384615384617
27	5.450617283950617	12	0.6481481481481479
28	5.6190476190476195	12	0.5892857142857135
29	5.297413793103448	8	1.4396551724137936
30	5.274074074074074	9	0.8999999999999995
31	5.508960573476703	9	0.967741935483871
32	5.1875	4	0.953125
33	5.651515151515151	4	1.0606060606060606
34	5.50735294117647	4	0.9338235294117654
35	5.742857142857143	3	0.5999999999999996
37	5.054054054054054	1	0.0
38	4.5	1	0.0
39	5.435897435897436	1	0.0
40	6.4	1	0.0
41	5.634146341463414	1	0.0
42	5.468253968253968	3	0.13095238095238138
