u1	u2	nobservations	iqr
1	5.845340050377834	1985	3.0
2	6.358469945355191	915	2.5
3	6.503759398496242	399	2.0
4	6.57172131147541	244	1.75
5	6.70992366412214	131	1.7999999999999998
6	6.950757575757574	88	2.166666666666667
7	6.680080482897385	71	1.4285714285714288
8	6.94375	40	1.15625
9	6.695652173913042	23	1.1111111111111125
10	6.5565217391304325	23	1.0500000000000007
11	7.00909090909091	10	0.5
12	6.760416666666666	8	0.9375
13	5.897435897435898	3	0.5769230769230766
14	7.1607142857142865	4	0.7678571428571441
15	6.6	2	0.4666666666666659
16	6.484375	4	1.265625
17	7.196078431372548	3	1.5588235294117645
