u1	u2	nobservations	iqr
1	1.353909465020576	4860	1.0
2	1.432382133995037	806	0.5
3	1.4235209235209234	462	0.6666666666666667
4	1.4737704918032788	305	0.5
5	1.510734463276836	177	0.6000000000000001
6	1.501262626262626	132	0.3333333333333335
7	1.4975369458128078	87	0.4285714285714284
8	1.6074561403508771	57	0.25
9	1.4777777777777772	40	0.22222222222222232
10	1.4866666666666668	30	0.2749999999999999
11	1.518181818181818	20	0.27272727272727293
12	1.3863636363636365	11	0.2916666666666665
13	1.5726495726495726	9	0.15384615384615397
14	1.6122448979591835	7	0.10714285714285698
15	1.6000000000000003	3	0.16666666666666696
16	1.375	1	0.0
21	1.5238095238095237	1	0.0
