u1	u2	nobservations	iqr
1	6.15647339158062	2518	7.0
2	6.1885759960649285	8132	6.5
3	5.582214292421839	10649	5.333333333333334
4	4.882661996497373	9136	4.25
5	4.58004299534218	5582	3.8000000000000003
6	4.219009370816598	2490	3.166666666666667
7	3.8952270081490084	859	2.4285714285714284
8	3.6628228782287824	271	2.0625
9	3.513888888888889	64	2.1944444444444446
10	3.2941176470588234	17	1.5
11	3.4242424242424243	6	0.75
12	2.8333333333333335	1	0.0
13	2.923076923076923	1	0.0
16	5.0625	1	0.0
17	5.176470588235294	1	0.0
