u1	u2	nobservations	iqr
1	3.1770875352964905	64454	1.0
2	4.718418025576832	14779	2.0
3	4.548641975308618	10800	1.9999999999999996
4	4.5766971279373365	6894	1.5
5	4.49964604753076	5933	1.4000000000000004
6	4.474994812201704	4819	1.5000000000000004
7	4.513912719134643	3830	1.285714285714286
8	4.551200243087208	3291	1.25
9	4.526579111944961	2665	1.2222222222222219
10	4.527179487179486	2340	1.0999999999999996
11	4.545546233897216	1983	1.0
12	4.571699134199126	1848	1.083333333333333
13	4.541619381260177	1559	0.9230769230769234
14	4.510189378344997	1388	0.9285714285714288
15	4.574974039460025	1284	1.0
16	4.563286870503597	1112	0.9375
17	4.534184464860994	986	0.882352941176471
18	4.531198395848077	942	0.8333333333333339
19	4.552954076367389	816	0.8421052631578947
20	4.573076923076927	689	0.75
21	4.510248112189858	618	0.7142857142857135
22	4.557791158760465	619	0.795454545454545
23	4.5502815139193	556	0.8260869565217392
24	4.515387275242049	482	0.708333333333333
25	4.571884700665187	451	0.7399999999999993
26	4.55000931272118	413	0.7692307692307692
27	4.528648306426088	351	0.7777777777777786
28	4.537599206349203	360	0.75
29	4.597663708862184	307	0.6896551724137936
30	4.579306071871125	269	0.7333333333333334
31	4.546528607460512	243	0.774193548387097
32	4.514921171171171	222	0.59375
33	4.57689191379031	187	0.6515151515151523
34	4.540274064171122	176	0.6249999999999991
35	4.5930272108843555	168	0.6571428571428575
36	4.514093137254902	136	0.6666666666666661
37	4.578778778778778	135	0.5675675675675675
38	4.471819312059676	127	0.6315789473684212
39	4.460992907801414	94	0.5897435897435894
40	4.526923076923075	104	0.7624999999999993
41	4.553658536585365	100	0.49390243902439046
42	4.511737089201876	71	0.6428571428571423
43	4.606342494714589	55	0.662790697674418
44	4.57107438016529	55	0.4772727272727266
45	4.532510288065845	54	0.5833333333333339
46	4.549130434782609	50	0.42391304347826164
47	4.515704154002025	42	0.5053191489361701
48	4.657828282828284	33	0.520833333333333
49	4.693877551020408	28	0.5918367346938771
50	4.724	30	0.7149999999999999
51	4.584464555052791	26	0.41666666666666696
52	4.602941176470588	17	0.8461538461538458
53	4.6069182389937104	18	0.37735849056603854
54	4.3299663299663305	22	0.7129629629629628
55	4.677922077922078	14	0.459090909090909
56	4.673809523809524	15	0.30357142857142794
57	4.359064327485381	15	0.7105263157894735
58	4.581280788177339	7	0.4568965517241388
59	4.593220338983051	13	0.7796610169491531
60	4.374074074074075	9	0.4833333333333325
61	4.215846994535519	6	0.3729508196721305
62	4.717741935483871	6	0.705645161290323
63	4.337301587301587	4	0.48809523809523814
64	4.88671875	4	0.73828125
65	4.61025641025641	3	0.038461538461538325
66	4.722222222222222	3	0.5227272727272734
67	4.582089552238806	2	0.41791044776119346
68	4.502941176470588	5	0.3676470588235299
69	5.594202898550724	3	0.5507246376811592
70	4.071428571428571	1	0.0
71	4.54225352112676	4	1.246478873239436
72	4.180555555555555	1	0.0
73	4.063926940639269	3	0.3561643835616435
74	4.445945945945946	1	0.0
75	3.6533333333333333	1	0.0
77	4.909090909090909	5	0.8571428571428577
78	5.185897435897436	4	0.26923076923077005
81	4.685185185185185	2	0.37654320987654444
83	5.337349397590361	1	0.0
85	5.0588235294117645	1	0.0
86	5.0	1	0.0
87	5.160919540229885	1	0.0
88	4.193181818181818	1	0.0
89	5.179775280898877	1	0.0
92	4.076086956521739	2	0.09782608695652151
93	6.935483870967742	1	0.0
104	4.701923076923077	1	0.0
108	4.453703703703703	1	0.0
116	4.655172413793103	1	0.0
