u1	u2	nobservations	iqr
1	17.054378350778656	3917	14.0
2	12.047140649149922	3882	7.0
3	9.814423622941511	2935	5.0
4	8.750824175824176	1820	4.0
5	7.805805805805803	999	3.1999999999999993
6	7.5459770114942595	522	2.833333333333334
7	6.766917293233081	228	2.4642857142857135
8	6.669642857142857	140	2.125
9	6.093896713615025	71	1.5
10	6.333333333333333	30	1.3500000000000005
11	6.1223776223776225	26	2.113636363636364
12	5.0	6	1.458333333333333
13	4.0	1	0.0
14	4.571428571428571	1	0.0
15	4.1	2	0.7666666666666657
17	5.823529411764706	1	0.0
18	6.722222222222222	1	0.0
