u1	u2	nobservations	iqr
1	3.6346693898391624	3917	1.0
2	3.6043276661514683	3882	1.0
3	3.4973310618966518	2935	1.0
4	3.469642857142857	1820	1.0
5	3.365165165165162	999	0.7999999999999998
6	3.359833971902937	522	0.8333333333333335
7	3.342731829573935	228	0.8571428571428572
8	3.382142857142857	140	0.75
9	3.242566510172144	71	0.6666666666666665
10	3.2700000000000005	30	0.8000000000000003
11	3.1888111888111883	26	0.4318181818181821
12	2.9861111111111107	6	0.3333333333333335
13	2.8461538461538463	1	0.0
14	3.142857142857143	1	0.0
15	2.7	2	0.30000000000000027
17	3.0	1	0.0
18	2.888888888888889	1	0.0
