u1	u2	nobservations	iqr
1	1.5316166883963493	6136	1.0
2	1.6567179279643869	4942	0.5
3	1.6486860304287756	5302	0.6666666666666667
4	1.6419135308246597	4996	0.25
5	1.6259872611465074	3925	0.40000000000000013
6	1.651590797846304	3405	0.33333333333333326
7	1.6492969840077194	2662	0.4285714285714286
8	1.6265425045703839	2188	0.25
9	1.628549647417576	1749	0.33333333333333326
10	1.6342962962962928	1350	0.30000000000000004
11	1.631967826412274	972	0.2727272727272727
12	1.630570902394106	905	0.25
13	1.6507485802787845	596	0.23076923076923062
14	1.6464737793851707	474	0.2857142857142858
15	1.6366666666666694	340	0.19999999999999996
16	1.6428571428571428	224	0.25
17	1.6308010641442492	199	0.17647058823529416
18	1.6698806244260789	121	0.2222222222222221
19	1.6818397344713123	111	0.1578947368421053
20	1.6606382978723404	94	0.19999999999999996
21	1.6915584415584413	44	0.20238095238095233
22	1.6714285714285715	35	0.13636363636363646
23	1.6932367149758454	18	0.25
24	1.6346153846153846	26	0.16666666666666652
25	1.7022222222222225	18	0.27
26	1.5653846153846156	10	0.17307692307692313
27	1.6031746031746035	21	0.33333333333333326
28	1.824675324675325	11	0.2142857142857142
29	1.6482758620689655	10	0.14655172413793127
30	1.7	4	0.1333333333333333
31	1.5483870967741935	4	0.0
32	1.80078125	8	0.234375
33	1.7575757575757576	4	0.1212121212121211
34	1.9411764705882353	2	0.0
35	1.6285714285714286	2	0.0
37	1.2972972972972974	2	0.0
59	1.5084745762711864	2	0.0
