u1	u2	nobservations	iqr
1	1.5172323232323233	49500	1.0
2	1.7184979505487241	15126	0.5
3	1.6847998414585674	10092	0.6666666666666667
4	1.650887376567921	7494	0.25
5	1.6424111171268974	5541	0.40000000000000013
6	1.6389290882778629	4146	0.33333333333333326
7	1.6268676687034427	3203	0.2857142857142856
8	1.629616030214016	2383	0.25
9	1.6174678850483433	1678	0.33333333333333326
10	1.614398280802289	1396	0.19999999999999996
11	1.6012461059190053	963	0.2727272727272727
12	1.6148003472222208	768	0.25
13	1.611520347784085	637	0.23076923076923084
14	1.6368699526594257	513	0.2142857142857142
15	1.6182320441988989	362	0.19999999999999996
16	1.6297554347826086	276	0.25
17	1.6251885369532402	234	0.22058823529411753
18	1.6155555555555552	175	0.22222222222222232
19	1.6323644933228578	134	0.21052631578947367
20	1.5586666666666658	75	0.17499999999999982
21	1.589285714285714	56	0.20238095238095233
22	1.6260330578512396	44	0.2272727272727273
23	1.5783926218708826	33	0.21739130434782616
24	1.6458333333333335	40	0.17708333333333326
25	1.7048275862068965	29	0.1200000000000001
26	1.6234817813765183	19	0.17307692307692313
27	1.6920077972709553	19	0.12962962962962954
28	1.565934065934066	13	0.03571428571428559
29	1.6436781609195403	9	0.2068965517241379
30	1.7333333333333334	11	0.20000000000000018
31	1.5622119815668203	7	0.17741935483870974
32	1.43125	5	0.09375
33	1.6565656565656566	3	0.030303030303030276
34	1.676470588235294	2	0.029411764705882026
40	1.675	1	0.0
41	1.3414634146341464	2	0.0
43	1.627906976744186	1	0.0
57	1.4912280701754386	2	0.0
