u1	u2	nobservations	iqr
1	9.205309734513275	1695	6.0
2	6.933053557154277	2502	3.5
3	5.723689909051541	2309	2.666666666666667
4	5.146111433546141	1723	2.125
5	4.833629893238435	1124	1.7999999999999998
6	4.571713147410356	753	1.6666666666666665
7	4.60075008523696	419	1.6428571428571432
8	4.133838383838384	297	1.375
9	4.301841948900769	187	1.5555555555555554
10	4.204166666666667	96	1.375
11	4.128205128205129	78	1.2954545454545459
12	4.029411764705883	34	1.5
13	4.246794871794872	24	1.6346153846153841
14	3.625	16	1.0
15	3.54	10	0.6499999999999995
16	3.9791666666666665	12	0.5625
17	4.0588235294117645	4	0.23529411764705888
18	4.37037037037037	3	1.1388888888888888
19	3.4210526315789473	2	0.0
