u1	u2	nobservations	iqr
1	3.2831858407079646	1695	2.0
2	2.9412470023980815	2502	1.0
3	2.673596073336217	2309	1.0
4	2.536128845037725	1723	1.0
5	2.5158362989323835	1124	0.7999999999999998
6	2.448649845064189	753	0.666666666666667
7	2.3764064098192974	419	0.7142857142857144
8	2.314814814814815	297	0.625
9	2.324420677361853	187	0.5555555555555554
10	2.275	96	0.6000000000000001
11	2.247086247086247	78	0.4545454545454546
12	2.1102941176470593	34	0.47916666666666674
13	2.150641025641026	24	0.7884615384615385
14	1.9508928571428572	16	0.517857142857143
15	2.1266666666666665	10	0.46666666666666634
16	1.9635416666666667	12	0.46875
17	2.1911764705882355	4	0.1617647058823528
18	2.222222222222222	3	0.5833333333333333
19	2.1052631578947367	2	0.0
