u1	u2	nobservations	iqr
1	1.004488950276243	5792	0.0
2	1.050169827342202	21198	0.0
3	1.046584275366569	17073	0.0
4	1.0336034789484088	15177	0.0
5	1.0441408302679767	7612	0.0
6	1.041845736258765	4421	0.0
7	1.0464638685662964	2226	0.0
8	1.0506781524926687	1364	0.0
9	1.0571819893853749	649	0.11111111111111116
10	1.060309278350517	388	0.10000000000000009
11	1.0591856060606073	192	0.09090909090909083
12	1.0791666666666668	100	0.08333333333333326
13	1.0732600732600737	63	0.15384615384615374
14	1.0972222222222225	36	0.1428571428571428
15	1.097222222222222	24	0.1499999999999999
16	1.0486111111111112	18	0.0625
17	1.0784313725490196	6	0.10294117647058831
18	1.0868055555555556	16	0.13888888888888884
19	1.0818713450292397	9	0.1578947368421053
20	1.1333333333333335	6	0.19999999999999996
21	1.1523809523809525	5	0.04761904761904767
22	1.075757575757576	3	0.11363636363636376
23	1.0869565217391304	2	0.0869565217391306
24	1.0416666666666667	1	0.0
25	1.0	1	0.0
26	1.0384615384615385	2	0.0
29	1.4827586206896552	1	0.0
30	1.0333333333333334	1	0.0
31	1.0	1	0.0
32	1.125	1	0.0
42	1.3571428571428572	1	0.0
55	1.1	2	0.09999999999999987
59	1.3389830508474576	1	0.0
85	1.2117647058823529	1	0.0
