u1	u2	nobservations	iqr
1	7.627888446215139	1255	3.0
2	6.393248175182482	1644	2.5
3	5.986201888162684	1377	2.0
4	5.7853260869565215	920	2.0
5	5.859523809523811	504	1.5999999999999996
6	5.91142191142191	286	1.625
7	5.9061833688699386	134	1.8214285714285712
8	6.0	85	1.625
9	5.896640826873384	43	1.333333333333333
10	6.324999999999999	32	1.25
11	6.411764705882353	17	1.0909090909090908
12	6.479166666666667	12	1.75
13	5.89010989010989	7	0.76923076923077
14	6.6428571428571415	5	0.6428571428571432
15	6.066666666666666	3	1.033333333333334
16	5.34375	2	0.53125
17	5.75	4	1.3382352941176476
18	4.388888888888889	1	0.0
19	7.105263157894737	1	0.0
21	4.904761904761905	1	0.0
22	5.363636363636363	1	0.0
25	5.92	1	0.0
