u1	u2	nobservations	iqr
1	2.1101787668734038	13705	2.0
2	2.6488095238095237	3192	1.0
3	2.869155555555553	1875	1.0
4	2.9066523605150216	699	1.0
5	2.750408719346049	734	1.0
6	2.7544621321755898	691	0.833333333333333
7	2.6695594125500675	428	0.8571428571428572
8	2.7322738386308068	409	0.875
9	2.588235294117648	289	0.6666666666666665
10	2.7042801556420226	257	0.7000000000000002
11	2.7122049221496742	181	0.8181818181818179
12	2.6971428571428566	175	0.583333333333333
13	2.7244094488188977	127	0.6153846153846154
14	2.6377091377091397	111	0.6428571428571428
15	2.5286821705426354	86	0.583333333333333
16	2.624188311688312	77	0.5625
17	2.706816059757236	63	0.5294117647058827
18	2.743186582809226	53	0.5555555555555558
19	2.556390977443609	42	0.3684210526315792
20	2.787142857142856	35	0.5750000000000002
21	2.7838827838827833	26	0.4642857142857144
22	2.5454545454545454	12	0.3977272727272725
23	2.7130434782608694	15	0.32608695652173925
24	2.7380952380952386	14	0.3645833333333335
25	2.448888888888889	9	0.3999999999999999
26	2.6615384615384614	5	0.3846153846153846
27	2.407407407407408	3	0.2962962962962963
28	2.830357142857143	4	0.3303571428571428
29	2.6206896551724137	1	0.0
