u1	u2	nobservations	iqr
1	5.064981949458484	277	2.0
2	3.4593023255813953	430	1.5
3	3.2585910652920997	388	1.333333333333333
4	2.9782608695652173	299	1.25
5	2.9167567567567563	185	1.0
6	2.8028985507246387	115	0.833333333333333
7	2.726785714285715	80	0.7857142857142856
8	2.7580645161290325	31	0.8125
9	2.652777777777778	16	0.5555555555555554
10	2.766666666666667	12	0.6750000000000003
11	2.303030303030303	3	0.22727272727272707
12	2.5833333333333335	1	0.0
13	2.4230769230769234	2	0.03846153846153877
14	3.0714285714285716	1	0.0
16	2.3125	2	0.375
17	2.3529411764705883	2	0.4117647058823528
