u1	u2	nobservations	iqr
1	6.8563283922462945	877	4.0
2	5.367006985491671	1861	2.5
3	5.231788079470197	2265	2.0
4	5.208315427589171	2327	1.75
5	5.258875149581165	2507	1.5999999999999996
6	5.358212341197831	2204	1.666666666666667
7	5.421502976190484	1920	1.4642857142857144
8	5.468844754396604	1649	1.375
9	5.570391872278662	1378	1.333333333333333
10	5.59027128157156	1069	1.2999999999999998
11	5.6884886601867715	954	1.2727272727272725
12	5.692863916548128	703	1.208333333333333
13	5.659135431631188	589	1.1538461538461542
14	5.621273291925463	460	1.1428571428571432
15	5.7614141414141375	330	1.1166666666666663
16	5.706777597402597	308	1.25
17	5.885419570671874	211	1.1176470588235299
18	5.888307155322861	191	1.1388888888888893
19	5.808127914723516	158	1.0394736842105257
20	5.816806722689075	119	1.0999999999999996
21	5.805105547373591	97	1.1904761904761907
22	5.8063241106719365	92	1.0909090909090908
23	5.837267080745341	70	0.8478260869565224
24	5.879504504504505	37	0.833333333333333
25	6.007500000000001	32	0.7100000000000009
26	6.080128205128207	36	1.1923076923076925
27	5.990397805212621	27	0.8148148148148149
28	5.918571428571428	25	0.9285714285714288
29	6.278735632183907	12	0.5
30	6.04	10	0.5499999999999998
31	5.913978494623655	18	0.6451612903225792
32	5.964285714285714	7	1.3125
33	5.7020202020202015	6	0.9545454545454541
34	6.088235294117647	5	1.0
35	6.319047619047619	6	0.7928571428571427
36	6.407407407407407	6	1.5902777777777786
37	4.905405405405405	2	0.5810810810810807
38	6.184210526315789	1	0.0
39	5.769230769230769	3	0.06410256410256387
40	7.225	1	0.0
41	6.7073170731707314	1	0.0
43	6.104651162790698	2	0.9883720930232567
44	6.011363636363637	2	0.44318181818181834
45	5.4	1	0.0
47	5.914893617021277	1	0.0
51	5.764705882352941	2	0.41176470588235325
53	5.622641509433962	1	0.0
54	7.425925925925926	1	0.0
55	5.545454545454546	1	0.0
61	6.180327868852459	1	0.0
93	6.247311827956989	1	0.0
