u1	u2	nobservations	iqr
1	5.974060117430549	11411	3.0
2	5.172905299665863	23643	2.0
3	5.1286584240635	27095	2.0
4	5.148612051455653	28063	1.75
5	5.216385273335801	26890	1.7999999999999998
6	5.292370892018772	24140	1.5
7	5.375197064513251	20751	1.571428571428572
8	5.44931747043821	17252	1.375
9	5.506981192721655	14173	1.4444444444444446
10	5.558961222506858	11321	1.2999999999999998
11	5.606849885075666	9176	1.3636363636363633
12	5.619513721283644	7458	1.25
13	5.651214608597676	6007	1.1538461538461542
14	5.712413772772836	4846	1.1428571428571423
15	5.689778911564631	3920	1.1333333333333329
16	5.693196202531645	3160	1.0625
17	5.708454357996489	2653	1.1764705882352944
18	5.750493412279303	2083	1.1111111111111107
19	5.70339251743817	1660	1.0657894736842106
20	5.723776978417268	1390	1.0999999999999996
21	5.74593445083813	1142	1.0476190476190474
22	5.731409331409335	945	1.0
23	5.825663663300483	719	1.0217391304347823
24	5.827094090648308	581	1.125
25	5.818666666666669	480	1.0
26	5.797672064777326	380	1.0
27	5.806505223171893	312	0.9629629629629628
28	5.811553030303033	264	1.008928571428572
29	5.790191570881227	225	0.931034482758621
30	5.926395939086295	197	0.9666666666666668
31	5.93325218096977	159	0.967741935483871
32	5.78021694214876	121	1.15625
33	5.781481481481482	90	0.9621212121212119
34	5.981409544950056	106	1.1470588235294112
35	5.94812030075188	76	1.2000000000000002
36	5.844017094017095	65	0.8888888888888884
37	5.905405405405407	42	0.8851351351351351
38	5.935740514075888	43	0.7894736842105265
39	5.803418803418802	36	0.6282051282051277
40	5.90909090909091	22	0.5125000000000002
41	5.9609756097560975	35	1.1585365853658525
42	6.040564373897707	27	0.6428571428571423
43	6.127131782945736	15	0.6976744186046506
44	5.830086580086581	21	0.8409090909090908
45	6.175925925925927	12	0.9777777777777787
46	5.8304347826086955	15	0.75
47	6.3510638297872335	8	0.4680851063829783
48	6.104166666666668	12	1.046875
49	6.204081632653062	13	0.6734693877551017
50	6.45	2	0.9699999999999998
51	6.090686274509805	8	0.367647058823529
52	6.504807692307692	4	0.45673076923077094
53	6.165618448637316	9	0.6226415094339623
54	6.066666666666667	5	0.12962962962962976
56	6.035714285714286	6	1.4107142857142865
57	5.508771929824562	1	0.0
58	4.982758620689655	1	0.0
59	5.47457627118644	1	0.0
62	7.661290322580645	1	0.0
64	6.30859375	4	1.16796875
65	5.6923076923076925	1	0.0
66	5.621212121212121	2	0.18181818181817988
69	5.188405797101449	2	0.9420289855072461
72	5.993055555555555	2	0.29861111111110983
75	5.693333333333333	1	0.0
79	6.189873417721519	2	0.31645569620253156
83	3.1927710843373496	1	0.0
84	7.404761904761905	1	0.0
88	5.409090909090909	1	0.0
91	6.076923076923077	1	0.0
99	7.05050505050505	1	0.0
106	6.537735849056604	1	0.0
115	6.3130434782608695	2	0.4869565217391294
119	6.226890756302521	1	0.0
143	6.4475524475524475	1	0.0
