u1	u2	nobservations	iqr
1	9.056944044879172	55616	8.0
2	7.7320437014136925	33317	4.5
3	6.535190720182187	18736	3.333333333333333
4	5.886899466192171	8992	2.5
5	5.4635480572597235	3912	2.2
6	5.216133004926095	1624	2.166666666666667
7	5.195665895224066	679	2.0
8	5.162727272727273	275	2.125
9	5.165755919854282	122	2.305555555555556
10	5.057812500000002	64	1.9250000000000007
11	5.213068181818182	32	1.8181818181818183
12	4.861111111111111	18	2.041666666666667
13	5.426573426573427	11	1.0
14	4.107142857142857	6	0.6964285714285721
15	12.333333333333334	1	0.0
16	8.354166666666666	3	4.03125
19	5.657894736842105	2	1.2368421052631575
