u1	u2	nobservations	iqr
1	2.582727991944764	55616	1.0
2	3.0659273043791457	33317	1.0
3	3.0144285510959143	18736	1.0
4	2.986432384341637	8992	1.0
5	2.9416155419222934	3912	0.7999999999999998
6	2.950431034482757	1624	0.8333333333333335
7	2.9307805596465437	679	0.714285714285714
8	2.8904545454545456	275	0.75
9	2.9826958105646653	122	0.666666666666667
10	3.042187499999999	64	0.5249999999999999
11	2.801136363636363	32	0.49999999999999956
12	3.027777777777778	18	0.22916666666666696
13	3.0979020979020984	11	0.46153846153846123
14	2.821428571428571	6	0.23214285714285676
15	3.533333333333333	1	0.0
16	2.5	3	0.1875
19	2.6315789473684212	2	0.0
