u1	u2	nobservations	iqr
1	6.9044289044289044	429	5.0
2	5.201951951951952	666	2.0
3	4.891789632992813	881	2.0000000000000004
4	4.6973206176203455	1101	2.0
5	4.573811833171684	1031	1.6
6	4.751581751581747	1001	1.6666666666666665
7	4.781466331025801	908	1.4285714285714288
8	4.814238410596026	755	1.5
9	4.918576388888891	640	1.4444444444444446
10	4.9122641509433995	530	1.4000000000000004
11	4.900502723083365	434	1.454545454545455
12	4.98600174978128	381	1.333333333333333
13	5.0766569071067345	289	1.23076923076923
14	5.018015170670036	226	1.2142857142857144
15	5.026666666666664	200	1.2000000000000002
16	5.078322784810126	158	1.46875
17	5.04718137254902	96	1.1617647058823524
18	5.165354330708661	127	1.3611111111111107
19	5.095482068001862	113	1.0
20	5.274025974025973	77	1.0
21	5.12698412698413	45	1.0
22	5.053977272727273	48	0.75
23	5.347826086956523	39	1.4565217391304355
24	4.99375	20	0.6458333333333339
25	5.602666666666666	30	0.9799999999999995
26	5.346153846153847	17	1.0
27	5.179337231968811	19	0.7962962962962967
28	5.221428571428571	10	0.7500000000000009
29	5.499999999999999	8	0.6810344827586201
30	4.7555555555555555	3	0.7166666666666668
31	5.188172043010753	6	0.4919354838709671
32	5.4921875	4	0.7421875
34	5.602941176470589	4	0.8088235294117645
35	5.095238095238096	3	0.4285714285714288
36	4.833333333333333	1	0.0
37	4.816216216216216	5	0.5405405405405403
38	5.144736842105264	2	0.03947368421052655
39	6.538461538461538	1	0.0
40	5.2625	2	0.0625
41	5.390243902439025	3	0.6097560975609762
45	6.155555555555556	1	0.0
46	4.108695652173913	1	0.0
