u1	u2	nobservations	iqr
1	4.18967587034814	833	4.0
2	4.468654434250764	1962	5.0
3	3.356086037548173	2681	3.0
4	3.107427937915743	2255	2.5
5	2.84018547140649	1294	1.8
6	2.7280071813285445	557	1.6666666666666667
7	2.4270833333333344	192	1.4285714285714286
8	2.2758620689655173	87	1.25
9	2.128654970760234	38	0.9722222222222221
10	2.018518518518518	27	0.8499999999999999
11	1.878787878787879	12	0.43181818181818166
12	1.490740740740741	9	0.33333333333333326
13	2.0659340659340657	7	0.4999999999999998
14	2.0	3	0.5357142857142856
15	1.5	2	0.2333333333333334
