u1	u2	nobservations	iqr
1	3.9626342594927135	19831	2.0
2	5.1905689789555725	3849	3.0
3	5.085059267943206	2559	2.3333333333333335
4	5.065465465465466	1665	2.25
5	5.052297410192146	1197	2.0
6	4.993282498184465	918	1.833333333333333
7	5.000611371510088	701	1.7142857142857144
8	4.92475922953451	623	1.625
9	4.945446448452462	499	1.5555555555555562
10	4.887846481876329	469	1.5
11	4.888357256778309	342	1.3636363636363642
12	4.718253968253967	315	1.166666666666667
13	4.856656258870281	271	1.2307692307692308
14	4.855696934644301	247	1.2142857142857144
15	4.8889983579638745	203	1.1333333333333337
16	4.923022598870056	177	1.125
17	4.783613445378151	140	1.0147058823529411
18	4.921337266470009	113	1.0
19	4.818445195557701	109	1.0
20	4.854597701149425	87	1.0500000000000007
21	4.9447895100069	69	1.0
22	4.806818181818184	76	1.0227272727272725
23	5.1533180778032035	38	1.1521739130434776
24	4.81644144144144	37	0.9583333333333339
25	5.043870967741935	31	1.1799999999999997
26	4.823964497041421	26	1.3653846153846159
27	4.845679012345679	12	0.6481481481481479
28	5.119047619047619	12	0.8928571428571423
29	4.942528735632184	9	1.137931034482758
30	4.802222222222222	15	0.43333333333333357
31	5.422287390029326	11	0.9032258064516121
32	4.77734375	8	1.0546875
33	4.9393939393939394	4	0.8030303030303036
34	4.916666666666667	6	0.5294117647058814
35	4.980952380952381	3	0.8571428571428568
36	5.3240740740740735	3	0.23611111111111072
37	4.378378378378379	2	0.027027027027027195
38	4.815789473684211	1	0.0
39	4.752136752136752	3	0.5897435897435894
40	4.824999999999999	2	0.27499999999999947
41	4.317073170731708	1	0.0
42	5.095238095238095	1	0.0
43	4.953488372093023	2	0.8139534883720927
