u1	u2	nobservations	iqr
1	7.805084745762712	118	5.0
2	5.87593984962406	133	2.5
3	5.27891156462585	147	2.333333333333333
4	4.992424242424242	165	2.25
5	4.665497076023393	171	1.8000000000000003
6	4.805128205128206	195	1.6666666666666665
7	4.7731778425656	245	1.5714285714285716
8	4.8092672413793105	232	1.28125
9	4.9056689342403645	245	1.4444444444444446
10	4.771666666666666	240	1.2999999999999998
11	4.82935916542474	244	1.454545454545455
12	4.926991150442478	226	1.25
13	4.9462592202318225	219	1.3076923076923075
14	4.8448412698412735	180	1.0714285714285712
15	4.924341085271318	215	1.2000000000000002
16	4.844987623762377	202	1.234375
17	4.855335157318742	172	1.2352941176470589
18	4.965593434343433	176	1.2361111111111107
19	4.993268053855572	172	1.0526315789473681
20	4.96761006289308	159	1.1000000000000005
21	4.80128205128205	104	1.0714285714285712
22	4.972787081339711	152	1.0909090909090908
23	5.00438771439968	109	1.08695652173913
24	5.041666666666667	100	1.125
25	5.056969696969695	99	0.9400000000000013
26	5.005090497737557	68	0.9134615384615392
27	4.916014606155453	71	1.018518518518519
28	4.945652173913043	69	1.0
29	5.090804597701147	60	0.8793103448275863
30	4.9678571428571425	56	1.041666666666666
31	4.909899888765295	58	0.7419354838709671
32	5.034801136363637	44	0.9140625
33	4.8741965105601475	33	0.8484848484848486
34	5.1653144016227195	29	0.8823529411764701
35	5.055172413793104	29	0.7714285714285714
36	5.038011695906432	38	0.6319444444444438
37	4.86672879776328	29	1.1621621621621623
38	4.997975708502024	26	0.7236842105263168
39	4.9044289044289044	22	0.5769230769230766
40	4.919230769230769	13	0.9749999999999996
41	5.023106546854942	19	0.573170731707318
42	4.961538461538462	13	0.5714285714285712
43	5.002325581395349	10	1.1162790697674412
44	4.56404958677686	11	0.8863636363636367
45	5.04	10	1.0444444444444443
46	5.067934782608696	8	1.1141304347826093
47	5.26063829787234	4	0.3670212765957439
48	5.447916666666666	2	0.635416666666667
49	4.947521865889213	7	0.4183673469387754
50	5.35	2	0.16999999999999993
51	4.627450980392156	3	0.34313725490196045
52	4.634615384615385	2	0.8076923076923075
53	4.518867924528301	2	0.36792452830188704
54	4.37037037037037	1	0.0
56	5.053571428571429	1	0.0
57	5.7631578947368425	2	0.8157894736842097
58	5.477011494252874	3	0.4051724137931032
60	4.55	1	0.0
61	4.459016393442623	1	0.0
62	4.612903225806452	2	0.5322580645161299
63	4.73015873015873	1	0.0
64	4.9140625	2	0.3046875
69	4.869565217391305	1	0.0
71	5.28169014084507	1	0.0
79	4.2025316455696204	1	0.0
