u1	u2	nobservations	iqr
1	5.943876059631687	3421	3.0
2	4.463860103626943	7720	2.5
3	4.378948555956679	8864	1.6666666666666665
4	4.414852583747226	9463	1.5
5	4.426717740004779	8354	1.4
6	4.464570082449941	7075	1.1666666666666665
7	4.4910791189860975	5805	1.1428571428571428
8	4.51501804287837	4711	1.25
9	4.565831727681448	3633	1.2222222222222219
10	4.614386355209494	2697	1.0999999999999996
11	4.626923574292001	2109	1.0909090909090908
12	4.6565905819452995	1621	1.083333333333334
13	4.695114667940745	1288	1.0
14	4.751890756302528	1020	1.0714285714285712
15	4.722330097087385	824	1.0
16	4.775746268656716	670	1.0
17	4.859260110294114	512	0.9411764705882355
18	4.838831018518518	384	0.9444444444444446
19	4.844959857270297	295	0.8421052631578947
20	4.823913043478261	230	0.8499999999999996
21	4.748497457235322	206	0.8095238095238102
22	4.930387794024161	143	0.9090909090909083
23	4.882608695652174	120	0.9673913043478262
24	4.840277777777775	90	0.8229166666666661
25	4.8490909090909105	66	0.8799999999999999
26	4.741917502787068	69	0.8076923076923075
27	5.061111111111112	40	0.8240740740740735
28	4.9965659340659325	52	0.6964285714285712
29	5.078947368421051	38	0.9137931034482758
30	4.836111111111111	24	0.5750000000000002
31	5.072580645161291	12	0.8225806451612891
32	4.772321428571429	14	0.59375
33	4.932900432900432	14	0.6136363636363633
34	4.876050420168066	14	1.0367647058823533
35	5.085714285714286	12	0.9500000000000011
36	4.861111111111112	6	0.8472222222222223
38	4.5131578947368425	4	0.5394736842105274
39	5.288461538461538	4	0.6089743589743586
40	5.175	1	0.0
41	5.119241192411924	9	1.1219512195121952
42	5.095238095238095	2	0.11904761904761951
45	4.977777777777778	4	0.28888888888888875
46	4.8188405797101455	3	0.695652173913043
47	5.702127659574468	1	0.0
48	4.677083333333333	2	0.46875
50	5.246666666666666	3	0.5
51	4.901960784313726	1	0.0
52	5.326923076923077	2	0.2884615384615392
55	4.581818181818182	1	0.0
56	5.196428571428571	2	0.2857142857142847
57	5.087719298245614	1	0.0
61	4.180327868852459	1	0.0
66	5.257575757575758	1	0.0
71	5.126760563380282	1	0.0
79	4.8544303797468356	2	0.25949367088607644
83	5.481927710843373	1	0.0
166	5.0	1	0.0
