u1	u2	nobservations	iqr
1	7.071516443861232	12193	7.0
2	6.963416205075357	7763	4.0
3	6.356603023070816	5028	3.0
4	5.899478979518506	2783	2.5
5	5.6685159500693585	1442	2.1999999999999993
6	5.451341518872217	733	2.0
7	5.341954022988502	348	1.75
8	5.347435897435897	195	1.875
9	5.270202020202021	88	1.916666666666666
10	5.268750000000001	48	1.174999999999999
11	4.609848484848485	24	1.2045454545454541
12	5.369791666666667	16	0.979166666666667
13	4.914529914529914	9	0.384615384615385
14	5.259740259740261	11	1.1428571428571423
15	4.7555555555555555	3	0.16666666666666696
16	5.3125	2	0.25
22	5.7727272727272725	1	0.0
26	5.1923076923076925	1	0.0
