u1	u2	nobservations	iqr
1	2.6036250307553512	12193	3.0
2	3.2166044055133325	7763	1.5
3	3.2053168920710737	5028	1.0
4	3.1847826086956523	2783	1.0
5	3.185575589459086	1442	0.8000000000000003
6	3.1525693497044105	733	0.8333333333333335
7	3.1937602627257777	348	0.7142857142857144
8	3.269230769230769	195	0.625
9	3.1590909090909096	88	0.8055555555555558
10	3.256250000000001	48	0.8250000000000002
11	3.1174242424242427	24	0.6590909090909092
12	3.041666666666667	16	0.4166666666666665
13	3.2393162393162394	9	0.7692307692307696
14	3.207792207792207	11	0.3214285714285712
15	3.4	3	0.6666666666666665
16	3.3125	2	0.1875
22	3.5454545454545454	1	0.0
26	2.5384615384615383	1	0.0
