u1	u2	nobservations	iqr
1	5.627355198883461	1433	3.0
2	5.3539130434782605	1150	2.5
3	4.90255087417599	1163	1.666666666666667
4	4.503312720848056	1132	1.75
5	4.351079136690652	1251	1.4
6	4.39608895705522	1304	1.3333333333333335
7	4.382254464285715	1280	1.1428571428571423
8	4.352098466505246	1239	1.125
9	4.407131011608633	1206	1.1111111111111116
10	4.431407648494716	1229	1.1000000000000005
11	4.421992199219921	1212	1.0909090909090908
12	4.3942881500426285	1173	1.166666666666667
13	4.4704628704628675	1155	1.1538461538461537
14	4.465564738292015	1089	1.0000000000000004
15	4.494936708860753	1106	1.0000000000000004
16	4.528902439024391	1025	0.9375
17	4.520780372450494	995	1.0
18	4.550855627862136	922	1.0
19	4.564791288566243	870	0.9473684210526319
20	4.5366463414634115	820	0.9000000000000004
21	4.545324512783835	799	0.9047619047619051
22	4.5290498974709505	665	0.9545454545454541
23	4.561917701863352	672	0.9130434782608692
24	4.553561004086401	571	0.958333333333333
25	4.637660818713452	513	0.96
26	4.646045721346927	498	0.8846153846153841
27	4.560303893637226	429	0.8888888888888893
28	4.61590992986342	387	0.8928571428571423
29	4.58003924866835	369	0.8965517241379306
30	4.527833894500563	297	0.8333333333333339
31	4.656902277039849	272	0.919354838709677
32	4.58839980544747	257	0.84375
33	4.636498917748918	224	0.7651515151515156
34	4.600113122171946	208	0.9191176470588234
35	4.553015873015874	180	0.8285714285714283
36	4.6165458937198105	184	0.8611111111111107
37	4.678417547982765	138	0.7972972972972974
38	4.579131394920868	143	0.9210526315789469
39	4.710787710787711	111	0.833333333333333
40	4.568080357142859	112	0.8124999999999991
41	4.598358787326192	107	0.8536585365853657
42	4.673611111111111	72	0.7797619047619051
43	4.5776095186587344	86	0.941860465116279
44	4.623167155425221	62	0.8125
45	4.727901234567902	45	0.6222222222222218
46	4.662570888468808	46	0.695652173913043
47	4.46972176759411	39	0.8723404255319154
48	4.6305272108843525	49	0.7291666666666661
49	4.508503401360544	36	0.8214285714285712
50	4.2881481481481485	27	0.9000000000000004
51	4.533868092691623	22	0.3578431372549016
52	4.836538461538462	24	0.75
53	4.594894561598225	34	0.8066037735849063
54	4.796296296296296	23	1.083333333333333
55	4.558441558441559	14	0.6181818181818182
56	4.615601503759399	19	0.4375000000000009
57	4.485380116959063	21	0.859649122807018
58	4.720081135902638	17	0.7931034482758621
59	4.6843220338983045	16	0.7499999999999991
60	4.500877192982455	19	0.6166666666666663
61	4.668032786885246	12	1.0737704918032787
62	4.619354838709678	10	0.508064516129032
63	4.594356261022928	9	0.6031746031746028
64	4.2765625	10	0.27734375
65	4.855384615384615	10	0.4807692307692317
66	4.511363636363637	4	0.32954545454545414
67	4.559701492537314	6	0.7014925373134329
68	4.5130718954248366	9	0.4411764705882346
69	4.243478260869566	5	0.43478260869565233
70	4.8464285714285715	4	0.30357142857142794
71	4.693661971830986	4	0.524647887323944
72	4.652777777777778	4	0.8055555555555554
73	4.504109589041096	5	0.46575342465753433
74	4.662162162162162	3	0.5675675675675675
75	4.413333333333333	3	0.6200000000000001
76	4.947368421052632	1	0.0
77	4.233766233766234	1	0.0
78	4.282051282051282	3	0.4871794871794872
79	4.459312839059675	7	0.5696202531645564
80	4.45	1	0.0
81	3.8271604938271606	1	0.0
83	4.0	1	0.0
86	5.145348837209302	2	0.23837209302325668
87	4.563218390804598	1	0.0
88	5.096590909090909	2	0.5284090909090917
89	4.792134831460674	2	0.09550561797752799
90	3.888888888888889	1	0.0
91	4.010989010989011	1	0.0
98	5.418367346938775	1	0.0
111	4.801801801801802	1	0.0
137	4.518248175182482	1	0.0
143	3.6783216783216783	1	0.0
184	5.146739130434782	1	0.0
