u1	u2	nobservations	iqr
1	5.365384615384615	52	2.25
2	6.287037037037037	108	2.625
3	6.154525386313466	151	2.0
4	6.22375	200	2.0
5	6.278212290502794	179	1.5999999999999996
6	6.078888888888892	150	1.5
7	6.157671957671959	135	1.2857142857142856
8	6.320866141732283	127	1.125
9	6.203703703703706	114	1.3055555555555562
10	6.15862068965517	87	1.1000000000000005
11	6.168642951251648	69	1.1818181818181817
12	6.365296803652967	73	0.8333333333333339
13	6.2951334379905814	49	0.6923076923076925
14	6.3258928571428585	32	1.0
15	6.082666666666667	25	0.9333333333333336
16	6.099609375	32	0.640625
17	6.020588235294118	20	1.2058823529411775
18	6.000000000000001	17	0.7222222222222223
19	6.12781954887218	7	0.4210526315789478
20	6.09	10	0.8375000000000004
21	6.227513227513227	9	0.5238095238095237
22	6.338842975206611	11	0.5227272727272725
23	5.973913043478261	5	0.6956521739130439
24	6.525	5	0.3333333333333339
25	6.279999999999999	5	0.4800000000000004
26	6.057692307692308	2	0.4038461538461533
27	6.444444444444445	1	0.0
28	5.9642857142857135	2	0.6071428571428585
29	5.74712643678161	3	0.7241379310344822
30	5.033333333333333	1	0.0
31	6.161290322580645	1	0.0
32	6.15625	1	0.0
35	6.828571428571429	2	0.628571428571429
42	6.523809523809524	1	0.0
43	5.558139534883721	1	0.0
56	5.303571428571429	1	0.0
