u1	u2	nobservations	iqr
1	7.015809443507589	9488	4.0
2	6.327530218293343	11086	3.0
3	6.038864984954603	11853	2.666666666666666
4	5.93975254354199	11598	2.25
5	6.010322706065336	10288	2.2
6	6.135862864415546	8381	2.0
7	6.274337874904419	6354	2.0
8	6.398624667258208	4508	1.875
9	6.531199035666164	3134	1.7777777777777777
10	6.653579784744966	2137	1.7999999999999998
11	6.655155582672356	1490	1.7272727272727266
12	6.671004337671016	999	1.666666666666667
13	6.725291200553571	667	1.5384615384615383
14	6.76653150343107	458	1.625
15	6.909959349593494	328	1.6000000000000005
16	6.957175925925926	216	1.5
17	6.896788163118007	163	1.8235294117647056
18	6.935617860851506	107	1.4444444444444446
19	6.973684210526312	72	1.4868421052631584
20	7.079069767441859	43	1.25
21	6.722689075630254	34	1.2738095238095237
22	6.482213438735178	23	1.2727272727272734
23	7.053140096618357	18	1.5652173913043486
24	7.151515151515152	11	1.729166666666666
25	7.533333333333335	9	0.96
26	7.221153846153847	8	0.8076923076923084
27	6.503703703703704	5	0.7407407407407405
28	8.464285714285715	4	1.7142857142857126
29	7.689655172413794	7	0.9827586206896548
30	6.277777777777778	6	1.1916666666666682
31	7.301075268817204	3	1.596774193548387
32	6.71875	1	0.0
33	8.0	1	0.0
34	8.264705882352942	2	0.7058823529411757
35	6.414285714285715	2	0.35714285714285676
36	6.861111111111111	1	0.0
39	7.256410256410256	1	0.0
40	7.3	1	0.0
45	7.177777777777778	1	0.0
