u1	u2	nobservations	iqr
1	5.0383041533919855	136852	3.0
2	6.778363411480295	35574	3.0
3	6.902221427436038	16776	3.000000000000001
4	6.696063296024701	10364	2.75
5	6.532672220018507	7563	2.3999999999999995
6	6.436307568159546	5783	2.333333333333333
7	6.371021883674386	4426	2.1428571428571423
8	6.380858208955224	3350	2.125
9	6.4246784931563505	2687	2.0
10	6.366295938104444	2068	1.7999999999999998
11	6.324975736007759	1686	1.8181818181818183
12	6.300322660709857	1343	1.666666666666666
13	6.279815552295112	1101	1.6923076923076916
14	6.326742461690561	867	1.7857142857142865
15	6.25411764705882	680	1.5999999999999996
16	6.379825800376648	531	1.625
17	6.106807666886976	445	1.5294117647058822
18	6.400259067357507	386	1.4861111111111107
19	6.267925247902366	276	1.421052631578947
20	6.1566945606694565	239	1.5749999999999993
21	6.414647730437203	171	1.595238095238095
22	6.250000000000001	150	1.5795454545454541
23	6.349537829510441	127	1.4565217391304346
24	6.211890243902439	82	1.15625
25	6.296438356164382	73	1.4799999999999995
26	6.020458265139115	47	1.4615384615384617
27	6.361111111111109	44	1.6203703703703711
28	6.354166666666666	36	1.7142857142857153
29	6.32219827586207	32	1.5603448275862064
30	6.278205128205126	26	1.4833333333333325
31	6.296370967741935	16	1.3467741935483861
32	6.049107142857143	7	0.671875
33	6.235690235690236	9	1.212121212121212
34	6.285067873303168	13	1.7647058823529411
35	6.192857142857143	4	1.1785714285714288
36	5.296296296296297	3	1.125
37	6.702702702702703	3	1.864864864864865
38	7.921052631578948	1	0.0
39	6.788461538461538	4	0.7884615384615374
41	5.658536585365853	2	0.0
42	6.857142857142857	3	1.0
43	6.767441860465116	1	0.0
45	6.511111111111111	1	0.0
