u1	u2	nobservations	iqr
1	5.957403332285445	12724	5.0
2	5.201625934154716	9902	3.0
3	4.758278675411928	6251	2.0000000000000004
4	4.487965150620201	3386	1.75
5	4.336358279316441	1697	1.4
6	4.177962489343568	782	1.333333333333333
7	4.0223704866562	364	1.2857142857142856
8	4.04765625	160	1.25
9	4.136507936507937	70	1.333333333333333
10	4.297872340425531	47	1.3499999999999996
11	4.106951871657754	17	0.7272727272727271
12	3.444444444444444	9	0.75
13	4.338461538461539	5	0.8461538461538458
14	4.166666666666667	3	0.6428571428571428
16	4.0625	3	0.34375
17	4.294117647058824	2	0.117647058823529
20	4.4	1	0.0
21	3.9047619047619047	1	0.0
26	4.269230769230769	1	0.0
27	4.814814814814815	1	0.0
