u1	u2	nobservations	iqr
1	6.598676957001103	907	5.0
2	6.19821283509342	1231	3.0
3	5.978341584158421	1616	2.333333333333333
4	5.8979643765903305	1965	2.0
5	6.020942408376967	2101	2.2
6	6.072588982425052	2257	2.0
7	6.177216016722191	2187	1.8571428571428568
8	6.252508166122259	2143	1.875
9	6.272021419009373	2075	1.8888888888888884
10	6.2658899355478335	2017	1.7999999999999998
11	6.342803030303027	1872	1.8181818181818183
12	6.2938475665748514	1815	1.666666666666666
13	6.310449574726607	1646	1.5384615384615383
14	6.369917486827707	1437	1.7142857142857144
15	6.3748493975903555	1328	1.6166666666666663
16	6.329237288135594	1180	1.5625
17	6.417165089135366	1013	1.5882352941176476
18	6.358787073926509	1004	1.5555555555555554
19	6.358695652173922	828	1.578947368421053
20	6.413146551724133	696	1.5
21	6.399903637677667	593	1.3809523809523805
22	6.409703091521274	594	1.4545454545454541
23	6.426844668951827	482	1.608695652173913
24	6.28811813186813	364	1.385416666666667
25	6.353710691823901	318	1.3500000000000005
26	6.419958419958424	259	1.5576923076923084
27	6.387205387205389	242	1.333333333333334
28	6.446251768033947	202	1.5267857142857135
29	6.484473232996762	181	1.3103448275862064
30	6.484869976359339	141	1.333333333333334
31	6.350350631136046	115	1.516129032258064
32	6.435247747747748	111	1.484375
33	6.3548644338118025	76	1.4848484848484835
34	6.166812993854257	67	1.1617647058823533
35	6.363690476190477	48	1.1071428571428568
36	6.513038548752832	49	1.2777777777777777
37	6.46817785527463	31	1.3378378378378386
38	6.336523125996812	33	1.473684210526316
39	6.489409141583054	23	0.9102564102564097
40	6.231521739130434	23	1.3250000000000002
41	6.2554557124518615	19	1.4512195121951228
42	6.284013605442176	14	0.42857142857142705
43	5.918604651162791	18	1.0406976744186052
44	6.069930069930071	13	1.0681818181818183
45	6.233333333333333	8	1.2222222222222232
46	6.135869565217392	12	1.5000000000000009
47	6.159574468085107	6	1.3191489361702136
48	6.468750000000001	8	1.354166666666666
49	6.373469387755102	10	1.8775510204081627
50	6.546666666666667	3	1.1900000000000004
51	6.5406162464986	7	0.3627450980392144
52	4.25	1	0.0
53	5.768867924528302	4	0.834905660377359
54	7.722222222222222	1	0.0
55	6.412121212121211	3	0.7272727272727275
56	6.3125	4	0.5803571428571423
57	5.4035087719298245	1	0.0
58	6.9655172413793105	2	0.1724137931034484
59	5.440677966101695	4	0.5677966101694913
60	7.333333333333333	1	0.0
61	5.289617486338798	3	0.3934426229508192
63	6.126984126984127	1	0.0
64	6.421875	1	0.0
65	6.923076923076923	1	0.0
67	5.7611940298507465	2	0.5074626865671643
68	6.632352941176471	1	0.0
69	6.159420289855072	1	0.0
71	6.774647887323944	1	0.0
74	5.95945945945946	1	0.0
75	6.706666666666667	1	0.0
82	5.524390243902439	1	0.0
88	5.704545454545454	1	0.0
111	6.243243243243243	1	0.0
130	4.938461538461539	1	0.0
