u1	u2	nobservations	iqr
1	6.036101083032491	277	5.0
2	4.435077519379845	516	1.5
3	4.436876504987954	969	1.3333333333333335
4	4.323382126348228	1298	1.25
5	4.458267716535427	1270	1.4
6	4.461369770580293	988	1.1666666666666665
7	4.49725696730305	651	1.1428571428571428
8	4.575310559006211	483	1.25
9	4.475146198830409	304	1.1111111111111112
10	4.468348623853209	218	0.9000000000000004
11	4.536363636363635	160	0.8181818181818183
12	4.400510204081632	98	0.8125000000000004
13	4.4512055109070054	67	0.7692307692307692
14	4.349624060150376	38	0.785714285714286
15	4.4450450450450445	37	0.7999999999999998
16	4.34375	22	0.78125
17	4.220588235294118	8	0.3235294117647056
18	4.484126984126984	14	0.583333333333333
19	4.464912280701754	12	0.75
20	4.7	7	0.3249999999999993
21	3.9523809523809526	2	0.8571428571428568
22	4.242424242424242	3	0.15909090909090828
23	4.339130434782608	5	0.6086956521739131
24	4.666666666666667	1	0.0
25	4.4	4	0.8399999999999999
26	4.5256410256410255	3	0.5384615384615383
27	3.7222222222222223	2	0.5
30	4.733333333333333	1	0.0
