u1	u2	nobservations	iqr
1	3.8060723592509547	16501	3.0
2	4.726911054276783	3519	2.0
3	4.701766784452295	1415	1.6666666666666665
4	4.558867735470942	998	1.5
5	4.3912698412698425	756	1.4
6	4.340197693574961	607	1.1666666666666665
7	4.258086253369277	424	1.0
8	4.259186351706036	381	1.0
9	4.126405757984704	247	1.0
10	4.126511627906976	215	0.7999999999999998
11	4.190789473684212	152	0.7272727272727275
12	4.200258397932816	129	0.833333333333333
13	4.110474631751229	94	0.5384615384615388
14	4.070546737213404	81	0.6428571428571423
15	4.161904761904761	42	0.666666666666667
16	4.245738636363637	44	0.59375
17	4.375959079283888	23	0.382352941176471
18	4.174242424242425	22	0.916666666666667
19	4.443609022556391	14	0.46052631578947434
20	4.108333333333333	6	0.7875000000000005
21	4.142857142857143	8	0.3452380952380958
22	4.14935064935065	7	0.22727272727272707
23	4.456521739130435	6	0.804347826086957
24	4.125	1	0.0
25	4.76	1	0.0
