u1	u2	nobservations	iqr
1	6.427619047619047	1050	3.0
2	5.397637795275591	635	2.5
3	5.70694087403599	389	2.333333333333334
4	5.504528985507246	276	1.75
5	5.305263157894737	171	1.5999999999999996
6	5.192901234567903	108	1.666666666666666
7	5.389610389610389	66	1.5357142857142865
8	5.140151515151516	33	1.5
9	5.101851851851852	24	1.2222222222222223
10	5.211764705882352	17	1.7000000000000002
11	5.9431818181818175	8	2.4318181818181817
12	5.8	5	1.916666666666667
13	5.865384615384615	4	0.4038461538461551
14	4.142857142857143	1	0.0
16	6.6875	1	0.0
22	5.2727272727272725	1	0.0
